Unnamed: 0,Product,Review_Summary,Rating
59081,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)","Good to use for normal computer things like working, surfing, listening music or to play light games . Because once you start playing heavy games like COD, or Warfare .. the laptop heats to the top level where it can burn your hand, fan speed noise irritates and battery dont lasts for long. so not recommended for gaming and dont write its a gaming laptop.. its just normal general fast performance laptop. I am unsatisfied because my purpose was to play high definition games but I am not able t...",3
59082,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Pros: 1) extra slot for 2.5 hdd is available.2) light weight considering for a gaming laptop.3)Great design4) good quality compared to my old lenovo g5805) office applications and other normal work would give 3hrs I think on full charge.Cons:1) only One fan and so heating would be an issue if fan is set to 100%.. But may be want to 150% which is noisy2)keyboard is not a full one3)Can't play game for a full hour.. Battery will die.4)power button is not giving tactile feedback5)Very ...,4
59083,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Perfect MSI Laptop Really Perfect Work Alhamdulillah I Am So Happy Thank You MSI Team And Thank You Flipkart,5
59084,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)","Good product at this budget point. Build Quality: 4/5*Battery:3/5* could be improved more.Display : 5/5*Performance : 4.5/5* tested with mild uses works smoothly. Overall Ratings: 4/5*Windows 11 pre-installed, but it doesn't comes with Active MS365You have to buy.Flipkart Delivery Service : 4/5*",4
59085,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Gaming is just osm and it is best for Daily usage.I have tried GTA V just one problem that is little heat but mind-blowing product.,5
59086,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Overall good but battery drain quickly,4
59087,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Good product,5
59088,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Excellent,5
59089,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Good products,4
59090,"MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max-Q) GF63 Thin 11SC-1046IN Gaming LaptopÂ Â (15.6 inch, Black, 1.86 kg)",Good,5
