Unnamed: 0,Product,Review_Summary,Rating
48261,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice product thank you flipcart,5
48262,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Beautiful magic balloons.l am so happy for this product,5
48263,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Just WOW,5
48264,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Thank u flipkartð,5
48265,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice product,5
48266,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice,4
48267,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Thank you Flipkart â¤ï¸â¤ï¸â¤ï¸,5
48268,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Superrrr quality,5
48269,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good quality... But Price is little bit high...,4
48270,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Worst  qualities supplied by the seller kindly take action never place order from the seller frnds  totally disappoint from the Flipkart service kindly block this such type of seller from flipkart Party mood has been totally destroyed,1
48271,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice balllon set,4
48272,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,4
48273,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Worth it guys! Definitely Go With Thisðð¤ð»ð,4
48274,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",All are good except the curtains. The curtain length is very short,5
48275,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Worst product,1
48276,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Worst glue dot,1
48277,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",bad,1
48278,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Ballon  quantity very less... Not satisfied,1
48279,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Bad quality,1
48280,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Superb,4
48281,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,4
48282,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice,5
48283,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very bad ð,1
48284,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Super quality assurance of this product,5
48285,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Best product,5
48286,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very poor quality. Air leaks out from the foil balloons within a very short time.There are just 2 stars of very small size.,1
48287,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",The quality is not good...n Quantity is also not proper... bad to buy....not good as they show,1
48288,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Waste of many,1
48289,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",I am not happy,1
48290,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48291,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Don't waste your money,1
48292,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Bad quality,3
48293,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very bed,2
48294,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice product,5
48295,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice product same as this in pic. â¤ï¸â¤ï¸â¤ï¸,5
48296,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Excellent,5
48297,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice Product,5
48298,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48299,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,3
48300,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)","Nice product .....I,'m very happy",5
48301,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",I like this ð so nice ð ð,5
48302,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48303,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good product,5
48304,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",ðawesome product,5
48305,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Beautiful â¤ï¸,5
48306,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,4
48307,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Best product,5
48308,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Amazing,5
48309,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Ordered for my birthday and got the perfect set with a great price.,5
48310,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Osm,5
48311,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Really good product ðð,5
48312,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good product..,5
48313,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice,5
48314,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",awesome purchase,5
48315,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",super ð,5
48316,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,4
48317,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice,4
48318,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48319,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48320,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good product nice quality,3
48321,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Nice,5
48322,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",So beautiful for birthday party,5
48323,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Amezing itmes thanks Flipkart,5
48324,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)","Very danger and bad smell in Ballon, curtain, Air pump like pain the head very bad but product quality is supper",1
48325,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)","Weast product dnt buy this....  No ratings for this order  and no return policy very cheated.... Dissopointed... Plz dnt buy everyone i requested.,",1
48326,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Full items iam satisfied,4
48327,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)","Very worst products, kindly don't buy this products",2
48328,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very bed product,1
48329,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",No bast quality,1
48330,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,5
48331,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Maximum no of letter balloons are lick.,1
48332,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice,5
48333,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Balloons were very low quality,1
48334,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Money wasteðð,1
48335,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good product thank u flipkart,5
48336,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",It the vary bat product,1
48337,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Good,4
48338,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",This is not good,1
48339,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice,5
48340,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Very nice,5
48341,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Not bad,1
48342,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",very poor quility,1
48343,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Gud one,4
48344,"Magic Balloons Solid Birthday Decorations - 95Pcs Silver Happy Birthday Foil Balloon, Star Foil Metallic, Foil Curtain Princess Theme Birthday Decoration/Birthday Decorations for Girl BalloonÂ Â (Multicolor, Pack of 95)",Quantity is less,1
