Unnamed: 0,Product,Review_Summary,Rating
136654,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),"First of all packaging was superb and delivered with utmost care , not even a single scratch or dirt in the outer packet inspite of  heavy rush. Preheating was done before use, everything found ok. It's light weight, good design and finish. Durability and cooking experience is to tested. Good  for this price value.thanks!  It works nice.",5
136655,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),very nice product.. worth for money.. loved it .. easy functions.. utensils provided are awesome.. i made pizza.. cake.. grilled chicken.. thank you flipkart.,5
136656,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),I am writing this review after using this product for couple of weeks. I must say that for a family of 3-4 (member) this product is really good. My wife is very happy with the product. Very easy to use & light weight. I hv not opt for any demonstration because it was not required as it very easy to use. Moreover it suits our pocket & purpose. Flipkart has given as always super fast delivery.I will only say that in this range flipkart has given its best if anyone having more expectation plea...,5
136657,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),everything went perfect. big enough for 4 family members. baked cake.25 mins timer set. awesome. just go for it. make it a popular brand like the others just by using it. you will never be disappointed.,5
136658,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),"Next day Delivery,Ekart service is So fast .Light weight, Working like charm,Made Pizza,Paneer tikka And Toast Pizza.. Worked so nice.Hope for best Service and Hassle free Working.Let See...I will update again in a week .",5
136659,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),Reviewing after 10 month usage. Otg works in a very good manner. Baking was very good. However body is not of stainless steel as we are facing rusting issue at the bottom. However it does not effect the performance of otg. Overall a decent otg for normal small family usage.,4
136660,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),"Hello friends ....Today we have recieved our new otg by flipkart ...marq otg 18ltrs ....I got my delivery on due date ,on time and believe me ,I m so happy to purchase this product ...before all of this buying n all ,I was so worried about the online purchasing of elctronic product ....but now as I have recieved it so well packaged and the delivery guy was so well spoken ,gentle and has shown excellent service at door ,I just loved the product ,packaging and flipkart service .Well ,coming o...",5
136661,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),product is very good and gives many tools(with very good quality) with it...but power consumption is High.. otherwise product is good .. anyone can purchase this..I purchased it with discount 2200,4
136662,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),I was confused how this small otg make bbq but i am really impressed everyone of my family member happy to eat delicious tandoori Go for it guys really fantastic product in this range i bought in rs 3100,4
136663,MarQ by Flipkart 18-Litre 18L1200W4HL Oven Toaster Grill (OTG) with 4 Skewers and Crumb TrayÂ Â (Black),Better than what was expected. It has everything you need and on top of it the quality and the price.. You will just love it.,5
