Unnamed: 0,Product,Review_Summary,Rating
108261,"Men & Women Black Canvas, Fabric Belt",Best,4
108262,"Men & Women Black Canvas, Fabric Belt",I love it,5
108263,"Men & Women Black Canvas, Fabric Belt",It amazing product ...,5
108264,"Men & Women Black Canvas, Fabric Belt",Good,4
108265,"Men & Women Black Canvas, Fabric Belt",Very good,5
108266,"Men & Women Black Canvas, Fabric Belt",Size is short,1
108267,"Men & Women Black Canvas, Fabric Belt",Awesome,5
108268,"Men & Women Black Canvas, Fabric Belt",Nice,4
108269,"Men & Women Black Canvas, Fabric Belt",Good one,4
108270,"Men & Women Black Canvas, Fabric Belt",Ok,3
108271,"Men & Women Black Canvas, Fabric Belt",Nice,5
108272,"Men & Women Black Canvas, Fabric Belt",Love itð¥°,4
108273,"Men & Women Black Canvas, Fabric Belt",Vry nice product ð.. fully satisfied ðð,5
108274,"Men & Women Black Canvas, Fabric Belt",Good product you u are buying this type of belt u must to be buyed  from here,5
108275,"Men & Women Black Canvas, Fabric Belt",Super,5
108276,"Men & Women Black Canvas, Fabric Belt",It's a good product in budget,4
108277,"Men & Women Black Canvas, Fabric Belt",Ok,3
108278,"Men & Women Black Canvas, Fabric Belt",Veri bad product Don't purchased it becsuse this product material is very bad,1
108279,"Men & Women Black Canvas, Fabric Belt",Good..... Nice,5
108280,"Men & Women Black Canvas, Fabric Belt",Good,3
108281,"Men & Women Black Canvas, Fabric Belt",Nice,5
108282,"Men & Women Black Canvas, Fabric Belt",Good,5
108283,"Men & Women Black Canvas, Fabric Belt",You can consider it for casual usage!,4
108284,"Men & Women Black Canvas, Fabric Belt",Itss cooll must buy,4
108285,"Men & Women Black Canvas, Fabric Belt",I like this belt,5
108286,"Men & Women Black Canvas, Fabric Belt","Medium quality product, in very short period strength of elastic  reduced and some damages",3
108287,"Men & Women Black Canvas, Fabric Belt",its nice,5
108288,"Men & Women Black Canvas, Fabric Belt",good,4
108289,"Men & Women Black Canvas, Fabric Belt",This is a good product. Clean and better level of stiches,5
108290,"Men & Women Black Canvas, Fabric Belt",good,4
108291,"Men & Women Black Canvas, Fabric Belt",good product,5
108292,"Men & Women Black Canvas, Fabric Belt",Thank you,5
108293,"Men & Women Black Canvas, Fabric Belt",Awesome,5
108294,"Men & Women Black Canvas, Fabric Belt",very nice quality,5
108295,"Men & Women Black Canvas, Fabric Belt",Good,5
108296,"Men & Women Black Canvas, Fabric Belt",nice lovely awesome,5
108297,"Men & Women Black Canvas, Fabric Belt",lovely just go for it cheap and best,5
