Unnamed: 0,Product,Review_Summary,Rating
115565,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Best,5
115566,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Poor quality,1
115567,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),"Nothing special, only expensive",2
115568,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Nice,5
115569,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Not so goodPrice is not good enough clothYou don't give quality properly,1
115570,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Wastage,1
115571,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Amazing product.....,5
115572,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Worst quality not expecting from Peter England,1
115573,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Looking as cheak shirt very thin,1
115574,Men Checkered Double Breasted Formal Blazer?ÿ?ÿ(Blue),Good,5
