Unnamed: 0,Product,Review_Summary,Rating
115603,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),"Look is nice, but I don't like febric",1
115604,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Worst item...,1
115605,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),worst quality,1
115606,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),cheap look,2
115607,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Feel awkward,1
115608,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),bad experience,1
115609,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),cheap quality product,1
115610,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),its poor produc,1
115611,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),osm product,5
115612,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Very Good product,5
115613,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),third grade fabric.,1
115614,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Cloth quality is bad,1
115615,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Use less,1
115616,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Poor quality.i return it.,1
115617,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Very bad,1
115618,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Wasted product,1
115619,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Bad quality,1
115620,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Many people ask nice from where u purchase,3
115621,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Poor quality,1
115622,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Happy,5
115623,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),"Nice product, as shown in the imageCool product",4
115624,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Very bad quality,1
115625,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Very nice fitting,5
115626,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Good,5
115627,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Nice cloth,5
115628,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Average,3
115629,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Nice,5
115630,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Received different design on corlor and poor quality..,1
115631,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Excellent product,5
115632,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Good,3
115633,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Very poor febric,1
115634,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),I have purchased for my son and he like it.Fabric was good and found same as shown in pictures,4
115635,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Nice one,5
115636,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Good product,5
115637,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),good,4
115638,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),very poor,1
115639,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),good,4
115640,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),perfect fit...awesome wear...,4
115641,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Good Quality,5
115642,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Superb Quality????,5
115643,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Super,5
115644,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),Awesome????????,5
115645,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),"Beautiful Design, Perfect Fit, Nice Fabric for Autumn Wear. Simply Awesome. QUALITY WITH COMMITMENT.WORTH MUCH MORE THEN THE PRICE.THANKS FLIPKART.",5
115646,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),superb,4
115647,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),very fine product just love it ????,4
115648,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),good quality product & service,5
115649,Men Checkered Single Breasted Formal Blazer?ÿ?ÿ(Multicolor),looking good but change the product qulity & clothing sence,3
