Unnamed: 0,Product,Review_Summary,Rating
120876,Men Graphic Print Round Neck Black T-Shirt,This product is very good yaar ??ø??ø????????????????¯,5
120877,Men Graphic Print Round Neck Black T-Shirt,Nice,4
120878,Men Graphic Print Round Neck Black T-Shirt,Best product in low price I love Flipkart,5
120879,Men Graphic Print Round Neck Black T-Shirt,Good,4
120880,Men Graphic Print Round Neck Black T-Shirt,Quality awesome,4
120881,Men Graphic Print Round Neck Black T-Shirt,Good product ???,4
120882,Men Graphic Print Round Neck Black T-Shirt,Very good product,5
120883,Men Graphic Print Round Neck Black T-Shirt,Good product and very comfortable ??????¯??ø,5
120884,Men Graphic Print Round Neck Black T-Shirt,Just awesome ???,4
120885,Men Graphic Print Round Neck Black T-Shirt,Good quality,5
120886,Men Graphic Print Round Neck Black T-Shirt,Nice products ???????,3
120887,Men Graphic Print Round Neck Black T-Shirt,Super,5
120888,Men Graphic Print Round Neck Black T-Shirt,Good quality,5
120889,Men Graphic Print Round Neck Black T-Shirt,BLIVE Graphic print men Crew Neck white t-shirt is good and and its febric cotton blend same is given in product details.,4
120890,Men Graphic Print Round Neck Black T-Shirt,Nice product,5
120891,Men Graphic Print Round Neck Black T-Shirt,nice products i m happy,3
120892,Men Graphic Print Round Neck Black T-Shirt,Nice,5
120893,Men Graphic Print Round Neck Black T-Shirt,Good,5
120894,Men Graphic Print Round Neck Black T-Shirt,Quality is poor not value for money.....!!!,2
120895,Men Graphic Print Round Neck Black T-Shirt,Amazing  ????????,5
120896,Men Graphic Print Round Neck Black T-Shirt,So nice,3
120897,Men Graphic Print Round Neck Black T-Shirt,Very nice ????,5
120898,Men Graphic Print Round Neck Black T-Shirt,Nice im so happy ????,5
120899,Men Graphic Print Round Neck Black T-Shirt,Very nice,5
120900,Men Graphic Print Round Neck Black T-Shirt,Very good,5
120901,Men Graphic Print Round Neck Black T-Shirt,Nice,5
120902,Men Graphic Print Round Neck Black T-Shirt,Osome quality ????...,5
120903,Men Graphic Print Round Neck Black T-Shirt,So good,3
120904,Men Graphic Print Round Neck Black T-Shirt,Super t sart,5
120905,Men Graphic Print Round Neck Black T-Shirt,Nice fabric 100%cotton .but it doesn't look like the picture,5
120906,Men Graphic Print Round Neck Black T-Shirt,Very nice t shirt ????????????????????,4
120907,Men Graphic Print Round Neck Black T-Shirt,Good Design and wonderfull striching ???? Worthable compare with price ????,5
120908,Men Graphic Print Round Neck Black T-Shirt,Nice products ????????,4
120909,Men Graphic Print Round Neck Black T-Shirt,"Very poor quality, black print washed away in first wash itself",1
120910,Men Graphic Print Round Neck Black T-Shirt,It is good product.,5
120911,Men Graphic Print Round Neck Black T-Shirt,I thought it is like sweatshirt,3
120912,Men Graphic Print Round Neck Black T-Shirt,Quality is nice,4
120913,Men Graphic Print Round Neck Black T-Shirt,Nice,4
120914,Men Graphic Print Round Neck Black T-Shirt,Sandar product ????????,5
120915,Men Graphic Print Round Neck Black T-Shirt,Nice t-shirts,5
120916,Men Graphic Print Round Neck Black T-Shirt,Nice,5
120917,Men Graphic Print Round Neck Black T-Shirt,Veryyyy nice,5
120918,Men Graphic Print Round Neck Black T-Shirt,Good,4
120919,Men Graphic Print Round Neck Black T-Shirt,Very nice and good,5
120920,Men Graphic Print Round Neck Black T-Shirt,Product was okey,3
120921,Men Graphic Print Round Neck Black T-Shirt,T shirt ???? super hai and it's normal t shirt,4
120922,Men Graphic Print Round Neck Black T-Shirt,Nice,5
120923,Men Graphic Print Round Neck Black T-Shirt,Good product,3
120924,Men Graphic Print Round Neck Black T-Shirt,Good,5
120925,Men Graphic Print Round Neck Black T-Shirt,Very nice???????????? good product,5
120926,Men Graphic Print Round Neck Black T-Shirt,Okay,3
120927,Men Graphic Print Round Neck Black T-Shirt,Quality is too bed.,1
120928,Men Graphic Print Round Neck Black T-Shirt,Good,4
120929,Men Graphic Print Round Neck Black T-Shirt,Bad product,1
120930,Men Graphic Print Round Neck Black T-Shirt,Very good,5
120931,Men Graphic Print Round Neck Black T-Shirt,Good product ????????,5
120932,Men Graphic Print Round Neck Black T-Shirt,Perfectt,5
120933,Men Graphic Print Round Neck Black T-Shirt,Good,3
120934,Men Graphic Print Round Neck Black T-Shirt,Not good,1
120935,Men Graphic Print Round Neck Black T-Shirt,Nice,5
120936,Men Graphic Print Round Neck Black T-Shirt,Nice ????????,3
120937,Men Graphic Print Round Neck Black T-Shirt,awesome t-shirt,5
120938,Men Graphic Print Round Neck Black T-Shirt,Quality is medium feel good in wear,4
120939,Men Graphic Print Round Neck Black T-Shirt,Very nice,5
120940,Men Graphic Print Round Neck Black T-Shirt,According to price that nice,3
120941,Men Graphic Print Round Neck Black T-Shirt,Naic,5
120942,Men Graphic Print Round Neck Black T-Shirt,It's a nice to see????,5
120943,Men Graphic Print Round Neck Black T-Shirt,Quality is too bed.,1
120944,Men Graphic Print Round Neck Black T-Shirt,Quality is too bed.,1
120945,Men Graphic Print Round Neck Black T-Shirt,Quality is too bed.,1
120946,Men Graphic Print Round Neck Black T-Shirt,Very bad quality,1
120947,Men Graphic Print Round Neck Black T-Shirt,Poor cloth Quality,1
120948,Men Graphic Print Round Neck Black T-Shirt,Bad quality,1
120949,Men Graphic Print Round Neck Black T-Shirt,Print quality is too bad,1
120950,Men Graphic Print Round Neck Black T-Shirt,Very cheap quality,1
120951,Men Graphic Print Round Neck Black T-Shirt,Very bad prodact,1
120952,Men Graphic Print Round Neck Black T-Shirt,Avarege quality  .,1
120953,Men Graphic Print Round Neck Black T-Shirt,Bad product,1
120954,Men Graphic Print Round Neck Black T-Shirt,Cheep quantity,1
120955,Men Graphic Print Round Neck Black T-Shirt,Very low quality,1
