Unnamed: 0,Product,Review_Summary,Rating
115124,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Good quality,5
115125,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Awesome,5
115126,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Product is good. But there is no Blazer cover with this blazer.,4
115127,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),I have returned this product because of poor quality,2
115128,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Fitting is perfect. A little bit shiny. ordered size s.,4
115129,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Not like,2
115130,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),a good purchase ; happy with stitching and general outlook of the coat.,4
115131,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Excellent product at given price point,5
115132,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),quality low,2
115133,Men Self Design Single Breasted Casual Blazer?ÿ?ÿ(Brown),Product quality is good but size issue,4
