Unnamed: 0,Product,Review_Summary,Rating
114743,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Nice..,5
114744,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Classy product,5
114745,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),It is too good,4
114746,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),"Very happy, looking formal office wear",5
114747,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Excellent product. Liked it very much ????,5
114748,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Just only size issue other waise blazer is Perfect.,4
114749,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Go for it,5
114750,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good fitting is to good guys go for it,5
114751,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Without shoulder pad. It's blunder drawback.,1
114752,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Original product but button should be brand name printed as other same brand blazer have.,5
114753,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good quality,5
114754,Men Self Design Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Awesome ???? product ??? Must Buy,5
