Unnamed: 0,Product,Review_Summary,Rating
114631,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Really nice..,5
114632,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),osm,4
114633,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very nice,5
114634,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very nice product ???,4
114635,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Blindly go for it Osm ???? but select proper size,5
114636,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very good item,5
114637,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"This a great casual blazer for casual use , the quality is decent as per price n",5
114638,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),#unexpected ?????? loved it ??ø *amazing quality *light in weight *premium look*looks different,4
114639,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Nice fitting ,color ,soft ,comfort",5
114640,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very nice quality blazer. I like it very much ????????.,5
114641,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very nice,5
114642,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Good quality,5
114643,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Nice,5
114644,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),It's very nyc,4
114645,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Value to money best deal. Quality of cloth is also very premium,5
114646,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),So beautiful ?? good,5
114647,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Nice quality,loved it ..",5
114648,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Value for money,4
114649,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Great..Best Quality Blazers for winter..Size, fittings up to the mark..Go for it without thinking..",5
114650,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Excellent,5
114651,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very nice I am happy But not attached cover softy,5
114652,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Better than the branded one ....??????ø,5
114653,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Absolutely great. Looks just like it does in the pictures and the stitch, material and fit are top notch.",5
114654,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Very good fitting, colour is superb, must buy it",5
114655,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Good product,5
114656,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Awesome,5
114657,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Very good quality....happy with Purchase ??,5
114658,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Awesome..,5
114659,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Wonderful Fitting and Quality,5
114660,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Excellent,5
114661,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Awesome,5
114662,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Quality bad...,1
114663,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Superb quality ???,5
114664,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),Quality and fit is very good,5
114665,Men Solid Single Breasted Casual Blazer?ÿ?ÿ(Grey),"Nice item. Fitting is pretty good, looks so nice.",5
