Unnamed: 0,Product,Review_Summary,Rating
115080,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Nice blezzar,5
115081,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Awsm blazer,5
115082,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Perfect fabric and value for money,5
115083,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Osm look ????,5
115084,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Value of money,3
115085,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Awesome,5
115086,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Value fo money,4
115087,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Good,4
115088,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Same product as shown in picture???,5
115089,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Colour are best,5
115090,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Amazing product ever.. Very happy to get this one..,5
115091,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Amazing Product ever.. Very happy to get this one...,5
115092,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Excellent good Quality good fit... Rate is possible,5
115093,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",It's really awesome to wear but quality of cloth was completely I didn't feel worthy to wear for whole day,5
115094,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)","Product is good, im full satisfied????",5
115095,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Nice,4
115096,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Don??t waste your money. After 1 wash colour faded. Shoulder colour changed. Don??t buy.,1
115097,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Nice,5
115098,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Nice product..????????,4
115099,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Colour and feel are good,4
115100,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",suprb...,3
115101,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Good look,5
115102,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Good,5
115103,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Not good... uncomfortable fitting,1
115104,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Size problem,1
115105,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Good quality assurance,5
115106,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Very very good product in this price Comfortable Quality Super fast delivery,5
115107,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Thnk u flipkart like it,5
115108,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Ok in its price,3
115109,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Not premium but in low budget definitely can go for it.,3
115110,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Super product,5
115111,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)","Everything is fine, size, quality, stitching, etcq",5
115112,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Mind-blowing,5
115113,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Superb ??ø??ø??ø,5
115114,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Used product. Not even washed after use. Bad smell. Not worth buying.,1
115115,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Just ok,4
115116,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Not stif need to iron looks like cotton mixing colour is good size also good worth of money,4
115117,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Its a gud in this price,4
115118,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Excellent,4
115119,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Excellent,5
115120,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)","Nice blazzer,colour is good,cool with decensiy not shiny",5
115121,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Delivery persons very fast nice jacket,5
115122,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Pathetic,1
115123,"Men Solid Single Breasted Casual, Festive & Wedding Blazer?ÿ?ÿ(Light Blue)",Fabulous ???????? product it is,4
