Unnamed: 0,Product,Review_Summary,Rating
115729,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",It's perfect ???,5
115730,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Super,5
115731,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Thanks Flipkart... ???,5
115732,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Best quality ????,5
115733,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Super ??? ok Thanks you,5
115734,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Love it,5
115735,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Nice,5
115736,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Loved it.,5
115737,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Super,5
115738,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Notgiod not bad,3
115739,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Cheap quality item,2
115740,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Quality is very poor,2
115741,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",A good product ????,5
115742,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",It's amazing,5
115743,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Bad,1
115744,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Size is not fit.,1
115745,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Not good,1
115746,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Clothes quality is very poor ????,1
115747,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",nyc must buy...,5
115748,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Good,5
115749,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Super ??? ok Thanks you,5
115750,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Not godd,3
115751,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Nice,3
115752,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",Good,5
115753,"Men Solid Single Breasted Casual, Festive, Formal, Festive & Wedding, Party, Wedding Blazer?ÿ?ÿ(Blue)",osm very good products...,5
