Unnamed: 0,Product,Review_Summary,Rating
116487,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Quality is to good,4
116488,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),It's really good quality product in its price range... 4.5/5 .,5
116489,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Nyc product,4
116490,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very happy,5
116491,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),cool deal... tq flipcart..,4
116492,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),i love it,5
116493,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),???????????????? good,5
116494,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Supar ??????????,5
116495,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Awesome product,5
116496,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Super,5
116497,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Superb,5
116498,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Wow,5
116499,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),"Wrong product recieved, I have recived a leather jacked which is damaged no one is coming to take it and didn't refund my money till now . I am try to return it from 1 month.",1
116500,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very bad quality (isko mat le),1
116501,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Good go for it,3
116502,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very nice,5
116503,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Nice ????,5
116504,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very good quality thanks,3
116505,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),I love this??,5
116506,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Awesome quality product.Loved it.,5
116507,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),product was awesome itz very suitable on me,5
116508,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),"Very nice , tq flpkart",5
116509,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very nice product.,5
116510,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),The quality is very badWaste of money,1
116511,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Not fitinge don't purchese,1
116512,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Hate this,1
116513,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very good products. Love you,5
116514,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Perfect size and fittings  fabric quality ????,5
116515,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very useless and the price is too high???­,1
116516,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),"Awesome, excellent, very nice, super????",5
116517,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Nice product ????,5
116518,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Worth it product,4
116519,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very poor quality,1
116520,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very bad product,1
116521,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Not good quality and the size is so big fitting is not good,1
116522,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very bad quality if you buy then not return 10 days return policy is only shown not actual work for Customer,1
116523,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Delevery person is good and nice products,2
116524,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Worst,1
116525,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Very poor product,1
116526,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),A very bad experience for the first time.. With Flipkart...,1
116527,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),not a qulity... but use befoure packad this item... verry bead qulity...,2
116528,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Don't buy this,1
116529,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Don't buy this product,1
116530,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Bad product,1
116531,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Poor,1
116532,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Nice fit,1
116533,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Not good,1
116534,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Good,5
116535,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Bed,1
116536,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Size is not fit as mentioned,1
116537,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),I order this blazer and I received lather jacket. I order then I wait 7 days and then flifkart delevared wrong product. I don't buy anithing from flipkart. My festival is very near I wast my time I lost my money near my festival.,1
116538,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Superb,5
116539,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Not comfortable,1
116540,Men Solid Single Breasted Festive & Wedding Blazer?ÿ?ÿ(Blue),Worst product,1
