Unnamed: 0,Product,Review_Summary,Rating
115293,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",vendor is not interested to do business.Frankly do not order. internally its send me wrong size and color.@flipkart kindly Report this vendor.you should ban on this vendors.pathetic too much pathetic,1
115294,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Really nice blazer in this price... Thanks flipkart ?,5
115295,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice product,5
115296,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",So amazing nic ????,5
115297,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Good fitting,5
115298,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Light and so nice ???,5
115299,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Chap matarial,1
115300,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Not bad,3
115301,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",NiceSuper,5
115302,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Beautiful ??ø,5
115303,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice,3
115304,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice ????????,5
115305,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Very bad,1
115306,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Waste of money,1
115307,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",very good product,4
115308,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Good product Very nice fitting Happy about product,5
115309,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Awesome product I am happy.thank you Flipkart.,5
115310,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",I was not sure if this was going to be good enough but the product is good for 1500. If you have a stiff budget then this can save the day.,5
115311,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Very good product I am so happy,5
115312,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice,5
115313,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",amazing smooth fabric and perfect fittings,5
115314,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice fitting and good in wearing,4
115315,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Good,4
115316,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Very good fitting,5
115317,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Bogus Product,1
115318,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",it's nice product in this Amount....,4
115319,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Not good so much,3
115320,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Very nice,5
115321,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Supar goodAnd my very happ tq flipkart,5
115322,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",not good,1
115323,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)","Its too good, big thanks for fastest delivery.... great service by vendor",5
115324,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Quality of the material is good...,5
115325,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice,5
115326,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Don't West your money,2
115327,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Really awesome product ???????? it's suits more than expect???worth for the money ???§??,5
115328,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",I love this product,5
115329,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice,5
115330,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",v.good product,4
115331,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Vad quality,1
115332,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice one.. soft and good fiting,4
115333,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Good product,3
115334,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Fair and ok type,3
115335,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)","I just love the product, it's really awesome.",5
115336,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)","Very nice quality (quite good, do not keep much expectations in quality with in this range). Good fitting",4
115337,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Don't use this product this product all stitching so lose,2
115338,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Awesome nice look with feet,5
115339,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",amazing fabric and perfect stitching. colour is too gorzeous. but it may absorb dust quickly.,5
115340,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Nice fittings,5
115341,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",it's very comfortable,5
115342,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",Excellent,4
115343,"Men Solid Single Breasted Festive, Party, Wedding Blazer?ÿ?ÿ(Black)",V good,3
