Unnamed: 0,Product,Review_Summary,Rating
114891,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Very poor quality ???,1
114892,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),A-okay product you may go for it.,5
114893,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Product's quality is too much low..,1
114894,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good product according to price range,4
114895,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Very good ??????? happy,5
114896,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Worth every penny. Classy product,5
114897,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Cloths quality is very poor,1
114898,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good quality ????,4
114899,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good product.thanks,3
114900,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Osm,4
114901,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Great,5
114902,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Nice one. Suits me,4
114903,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good,5
114904,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Nice product,4
115030,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Very poor quality ???,1
115031,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),A-okay product you may go for it.,5
115032,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Product's quality is too much low..,1
115033,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good product according to price range,4
115034,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Very good ??????? happy,5
115035,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Worth every penny. Classy product,5
115036,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Cloths quality is very poor,1
115037,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good quality ????,4
115038,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good product.thanks,3
115039,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Osm,4
115040,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Great,5
115041,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Nice one. Suits me,4
115042,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Good,5
115043,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Black),Nice product,4
