Unnamed: 0,Product,Review_Summary,Rating
114834,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Very comfortableGreat fit Don't think too much go for it,5
114835,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Grt fitting...grt value of money.Must must haveVery recommend!!!,5
114836,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Midiyam not good not bad,3
114837,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),It was ok at this price point,3
114838,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Excellent product as per expectation,4
114839,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Product is good but appears little older,4
114840,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good quality fabric and great fitting.  Value for money,4
114841,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Great product Must go with this Perfect,5
114842,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Excellent fit n have nice look n colour,5
114843,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good Fitting ???? i ???? it,4
114844,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Quality product,5
114845,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),"Excellent product @ reasonable price,???",5
114846,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Very good quality!! Great stitch,5
115134,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Grt fitting...grt value of money.Must must haveVery recommend!!!,5
115135,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Midiyam not good not bad,3
115136,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Very comfortableGreat fit Don't think too much go for it,5
115137,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),It was ok at this price point,3
115138,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Excellent product as per expectation,4
115139,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Product is good but appears little older,4
115140,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good quality fabric and great fitting.  Value for money,4
115141,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Great product Must go with this Perfect,5
115142,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Excellent fit n have nice look n colour,5
115143,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Good Fitting ???? i ???? it,4
115144,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Quality product,5
115145,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),"Excellent product @ reasonable price,???",5
115146,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Dark Blue),Very good quality!! Great stitch,5
