Unnamed: 0,Product,Review_Summary,Rating
114801,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Very very nice ??????????,5
114802,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Nice product,4
114803,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Not good quality,2
114804,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Chip quality,1
114805,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),"not good,Poor quality and Defective pieces sold",1
114806,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Awesome ????,5
114807,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good Quality.,4
114808,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Super,5
114809,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good product,4
114810,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Please don??t waste money on it but from any outlet although,1
114811,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Nice,5
114812,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Very good,5
115070,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Average one !,3
115071,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Very bad,1
115072,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good,5
115073,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Best product,5
115074,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good,5
115075,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good product in this price...???,4
115076,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Bad fitting,1
115077,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Nice product ???????,5
115078,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Excellent ???,4
115079,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good product. At such price.,4
115719,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Average one !,3
115720,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Very bad,1
115721,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good,5
115722,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Best product,5
115723,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good,5
115724,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good product in this price...???,4
115725,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Bad fitting,1
115726,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Nice product ???????,5
115727,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Excellent ???,4
115728,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Grey),Good product. At such price.,4
