Unnamed: 0,Product,Review_Summary,Rating
114621,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Size not perfect,1
114622,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),According to price Nice......go for it,5
114623,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Value for money .,4
114624,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Nice,4
114625,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Ordinary,3
114626,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Good Good,4
114627,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),This is nice and fit size,5
114628,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Poor quality,1
114629,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Best blazer. Correct fitting.,4
114630,Men Solid Single Breasted Formal Blazer?ÿ?ÿ(Maroon),Excellent,4
