Unnamed: 0,Product,Review_Summary,Rating
115187,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",One f the best blazer in this price range ???must have blazer for ur wardrobe ??????¯,5
115188,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Beyond the value for money.If you are looking for under budget range just go for it.,5
115189,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",awesome liked it,5
115190,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Fabulous,5
115191,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",awesome quality ?????????,5
115192,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",????????????????????nice i like this,5
115193,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",just Awesome...,5
115194,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)","simply nice ,fabric is not up to expectations ,but overall is a good deal.",4
115195,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",perfect fit,5
115196,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",awesome cloth n fitting,5
115197,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",wow what a quality... best product,5
115198,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)","Superb fitting, value for money.",4
115199,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Nice qualitybest fit Fast delivery Cheap in costOsum comfortThanks to the dealer and flipkart,5
115200,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Nice,4
115201,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",good,5
115202,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)","Nice looking nd perfect fitting34 size is perfect for thin nd 5'3"" height body",5
115203,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",fit was perfect for my size. my chest is 34 so i ordered size 34 and it was very nice fitting. fabric used was also nice and it feels premium,5
115204,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)","really impresive , awsome product @ 1719",5
115205,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Nice blazer! Good quality! Very nice product!thank you flippcart!!!!!!,5
115206,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Awesome product in 2k price. If ur size of shirt 39 or 40 then go for 38 size . Ekdum mast product hai. Go for it anytime . Flipkart is as always best. and for Manq we want more colour option please make it.,5
115207,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",love this outfit Blazer is awesome,4
115208,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",very nice,5
115209,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",The fitting is amazing and cloth quality is good considering pricing. Its only blazer not set. go for it,5
115210,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Super quality..,5
115211,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Great.....,5
115212,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",osm product ..,5
115213,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Very satisfied,5
115214,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Good but,4
115215,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",It's really good fitting and good material happy with the product ????,5
115216,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)","Well fitted,good quality cloth . Got the deal in just Rs 1559/- in big billion day. Thank you Manq and flipkart.",5
115217,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",Blazer is little bit loose when compared to my first purchase charcole grey. Charcole grey blazer is perfectly fit to me. But little bit disappointed this black blazer.,4
115218,"Men Solid Single Breasted Formal, Wedding Blazer?ÿ?ÿ(Brown)",in this prize its awesome product,5
