Unnamed: 0,Product,Review_Summary,Rating
114847,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",nice.,4
114848,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","Awesome Quality ,great fit ,good fabric ,standard look.",5
114849,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Excellent Blazer. Perfect Fit.Fabric quality very nice.Mind blowing purchase from flip-kart.,5
114850,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","Superb fabric , smart look, Value for money.",5
114851,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Nice,4
114852,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",It's a nice and genuine product but without any cover.,4
114853,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","Fit and finish super, loved the product very much",5
114854,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Original product. Quality is very good.,4
114855,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","Quality of Blazer is good. But disappointed that they had not provided the blazer cover. When we buy branded items, we expect the complete packaging also.",3
114856,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Very old piece,2
114857,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","Good quality, good fitting",5
114858,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Amazing blazer too good quality,5
114859,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Really happy with this product only thing not like is that it is hot. Thank you sellers and flipkart,5
114860,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Very poor quality,2
114861,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Very good but smaller in size. I returned it,5
114862,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",it's nice,4
114863,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",it's very nice product.,5
114864,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Excellent,5
114865,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","nice product,",4
114866,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",looks good in pictures but is pathetic when seen personally,1
114867,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Good quality???? blazer but no cover ??,3
114868,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",best..????,5
114869,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Quality of blazer is good. But cover has not been provided by seller.,3
114870,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","the product is diferent in color and fibric, but fitting is awesome,  overall a good product.. expectation 4/5",3
114871,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",it was just a local 3rd class product with a logo of Arrow.. worst quality,1
114872,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",the quality of the product is awesome,5
114873,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",worthy and perfect,5
114874,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",nice,4
114875,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)",Nice & Good flikcart delivery,4
114876,"Men Solid Single Breasted Party, Formal Blazer?ÿ?ÿ(Blue)","light weight ,great build quality ,awesome fabric",4
