Unnamed: 0,Product,Review_Summary,Rating
114701,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Osm quality , need a little bit dry clean....and the colour is not dark grey like in the  picture but it is excellent for winter esp in weddings .....",5
114702,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Very awesome product,good fitting,nice fabric",5
114703,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Great quality and fittings as expected.,5
114704,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Stunning,5
114705,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),This product is low,1
114706,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Product is nice and value for money but color is greyish black , rest all things are Good ???",5
114707,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Worst,1
114708,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Nice,5
114709,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Nice product,5
114710,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Best quality ?,5
115575,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Osm quality , need a little bit dry clean....and the colour is not dark grey like in the  picture but it is excellent for winter esp in weddings .....",5
115576,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Very awesome product,good fitting,nice fabric",5
115577,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Great quality and fittings as expected.,5
115578,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Stunning,5
115579,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),This product is low,1
115580,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),"Product is nice and value for money but color is greyish black , rest all things are Good ???",5
115581,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Worst,1
115582,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Nice,5
115583,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Nice product,5
115584,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Best quality ?,5
115585,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Product is good but size is not appropriate for me,3
115586,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Awesome,5
115587,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Good Product,5
115588,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Very good product and fittings is awesome,5
115589,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),No A Perfect Black color Bur Product Is Awsome..,4
115590,Men Woven Single Breasted Casual Blazer?ÿ?ÿ(Black),Qualty best but size ishu,3
