Unnamed: 0,Product,Review_Summary,Rating
79808,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,"VERY GOOD PACKING AND SEALED PRODUCT DELIVERED.... THX  RETAILNET SELLER.. AND THX TO FLIPKART... MICROTEK SEBZ 1100 V3 IS VERY GOOD... USER FRIENDLY PRODUCT... LIGHT, FAN AND COMPUTER WORKS VERY NICE... NO HUMMING SOUND.... REALLY PURE SINE WAVE PRODUCT.... ONCE AGAIN THANKS FOR GOOD PRODUCT",5
79809,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,"Nice product... Nice design. No noise. The power back up is awesome. I am using this inverter with Exide IT 150 battery, and now I am very satisfied. This inverter is top model of Microtek Inverter in 1100 VA range. A big Thanks to Flipkart for 2 days early delivery. ?????¯",5
79810,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,"Good product, running smoothly and noise level is very less, even somebody will not going hear it if not listened very minutely, the sound is actually produced by the rare cooling system fan like the desktop computer system but far less noise than that. One important thing to be mentioned that it can't run any electric appliances more than 500 watts of capacity. Hoping for a long problem free service from this device.",4
79811,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,Awesome product. Good physical look and quality. new structure likes very attractive. function is good. no noise. microtek is always right product. i used microtek last 10 years now only i change but my previous one is till now running good. very co operate with all batteries. really good choice. definitely i recommend.,5
79812,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,Well after Using For a week..I didn't found anything wrong regarding performance and all. It even holds firm while using my 600W mixer grinder.Apart from that It well support 4 to 5 fans with 4 LED tubes and 2 LED TV without any fluctuation or any irritating noise.Satisfied till now with the Performance.,5
79813,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,Nice product 4.5 actually. But Expect more modernization for more better like digital display.  In this segment this is best deal when compared to else.  writing After 1months of use. got in deal for Rs 3900/-. It's good deal from Flipkart in May 19. N u can make ur own combination with Tubular battery of 150AH just get branded one for better result .,4
79814,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,This product is good . to use a very smoothly & working is well .,4
79815,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,"excellent product for very good price cause i have used sukam for past 6 year even sukam inverter r reliable but right now if u compare the price and the 1100va, microtek is the best",5
79816,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,Amazing product and great performance and superb price deal. Packaging was too good and installation was pretty easy.,5
79817,Microtek MTKBD11S Pure Sine Wave Inverter Pure Sine Wave Inverter,"The backup time mentioned is 8 hours for 5 fans + 5 lights + 2 TV. But what is the battery capacity needed for this?The power output should be (5 fans = 5x80W) 400 W + (5 lights = 5x30W CFL) 150 W + (2 TV = 2x100W) 200W = 750W.For 8 hours it should be 750x8 = 6000 Watt Hour. Considering the effeciency of 80% as stated in the product specification, the battery capacity needed is 6000 / (12 x 0.8) = 625 Ampere Hour. That means if we consider each battery of 150 AH capacity, we need over 4 b...",5
