Unnamed: 0,Product,Review_Summary,Rating
32164,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","After waiting and waiting for availability of bosch dishwasher for about 5 months, finally we decided to buy this one as backup till bosch becomes available. Were also reading that bosch is overbooked for many months. We agreed for midea as its an international brand. To our surprise the machine is really good. We first tested in intense mode (for most dirty utensils) to see if it works, utensils were sparkling clean. Then we tested in normal eco mode, still utensils are sparkling clean. We r...",5
32165,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","I researched a lot about Dishwashers available in the Indian Market online as well as offline before opting for Midea Torrino 13 Place Dishwasher. Looking at mixed reviews online for Dishwashers, I was quite skeptical about its performance. Surprisingly, in the very first wash (Intensive Cycle), all the dishes came out sparking clean. It surpassed my expectations. Even utensils with hard stains like Tea Pan, Milk Pan and Kadai etc. were also cleaned spick and span. Pros1) Most Budget Friend...",5
32166,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Delivered next day after placing the order.  Performance of machine is great and you can match it with best brands.  For Demo please arrange or place the order for detergent/tablet, Disherwasher Salt and Rinseaid, well before.",5
32167,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","This review is after usage of 10 months1. It definitely saved our marriage without maid.2. Worth a buy for 2 people also. 3. You might need to invest in ss utensils ,glass,etc and and ditch aluminum.We bought midea after a long research of 3 months comparing with Bosch lg etc. You get better than what you pay for.I used with both tablets and powder. But tablet works the best. I use finish tablet and you get to understand where to put which utensil. It'll take a bit of experience to ...",5
32168,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",I am writing after 2 months of use... Installation person was very nice and insaled before the due date.. Performance is excellent not a single issue.. Power consumption in eco mode is . 92 unit in each wash. While buying i was bit of hesitant as Bosch was not available and took chance to buy it based on reviews on Flipkart.. Very satisfy with the brand and Flipkart team..,5
32169,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","After 3 months use: Very good product. Does its job perfectly. Only thing is one has to go through user manual carefully to get optimum wash result as demo is of no use coz demo person doesn't know anything about dishwasher (in most of the cases  they are trained for washing machine and dishwasher is new to them). Eco mode is most efficient in terms of cleaning, water & power usage and overall performance. Electricity consumption is about 1 unit per cycle. Detergent, salt and rinse aid cons...",5
32170,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","I was too sceptical about using a Dishwasher that too for the utensils that are soiled by our Indian kitchens.. But after using one I am now completely convinced about the engineering that is kept i the design and function of the Dishwashers that are specifically made for the utensils that come from TYPICAL INDIAN KITCHENS..!!Now coming to the Midea Torrino, I bought this only because of the competitive price that it was offered for and I did similar experiments on TVs, 2 Door side-by-side f...",5
32171,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","Delivered in one day (Hyderabad) and installed on second day. Installation engineer was good and explained all features. He also brought detergent for demo and we also bought our first batch of salt, detergent and rinse aid from him.Machine's build quality looks good. Test cycle of 30 mins had good results. Will update review after couple of months of usage.Review after 4 months:Still going strong, no issues so far. Cleans the dishes very well and drying is satisfactory. Salt and rinseaid...",5
32172,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher","So far good . no complaint. wash quality is ok. One observation : if we use detergent powder then the wash quality is better , but if we use the table ( all in one ) , then it not that good , i can see some food residue left on the uetnsils.",5
32173,"Midea TORRINO,WQP12-5201F Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher",There is a lot of misconception about dishwashers.I bought one to find out.Pros:1. It saves time and effort2. Utensils come cleaner than hand washing.3. It can fit almost all types of utensils4. Perfect for a family of 4 - if you have a lot of utensils to wash - 2 rounds are needed.5. Utensils come out 95% dry based on your selected program.6. Cost-effective compared to competitor brands.7. Dishwasher consumables would be around 500 per month plus electricity around 300I will add mo...,4
