Unnamed: 0,Product,Review_Summary,Rating
33191,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Wonderful product , it is a must have in today's time. This one is small in size but fits our kitchen. One problem came  to us that this has limited space. Placing Full size plate would be a challenge. It is also the cheapest available dishwasher. But quality is upto the mark. Used it for 1 week and can say it worked well. It saves a lot of human efforts, and it cleans better than BAI in many cases",5
33192,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Superb performance and great value for money product by Flipkart....must buy ???,5
33193,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Great machine, very helpful.Installation personal from the Company was very knowledgeable and made us ample demo. To use the machine correctly.",5
33194,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Very good, I??m happy about this dishwasher No issues",5
33195,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Super,5
33196,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent,5
33197,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Excellent product,5
33198,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Hated,1
33199,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Works perfectly till now used for 45 days or so. Only wished I had bought the bigger version of 12 or 14 place setting.,5
33200,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Space not sufficient for larger plates, vessels.",3
33201,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Well handled and with protective mask. Custome friendly attitude,5
33202,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Dish are not clearing properly I took this on May month till not installation not done highly disappointed not worth don't buy it's not clearing,1
33203,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Indian kadai cleaning job can't be done in this not recomended,3
33204,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Waste of time to spend time & money, it's not cleaning",1
33205,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Like it..Nice and clean properly.. But one thing need to check properly salt and rinse.. Then only good clean will happen...,5
33206,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,"Poor Quality , after Only 10 days Showing error Like E1,  Calling To Custo Care for Resolve but Not Responded  From Midea CC office 25 Time Calling Think 10 Time Before Buying",1
33207,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Nice,5
33208,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Nice dishwasher and demo detergent kit with machine and surprisingly installation is same day of delivery I am very happy about service. now I use only 1 day and vessles come very clean let see how it perfrom  next days but really its budge friendly and  good quality,5
33209,Midea WQP8-3802D Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,Doesn't clean properly,1
