Unnamed: 0,Product,Review_Summary,Rating
158551,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",I have been researching about soundbar Sound quality is amazing Didnât expect it from Indian brand ( Boat you got a big competition in terms quality and sound quality- impressive) Using HDMI source and tried multiple options Everything is working good One thing is this product you canât expect Dolby but it gives you cinematic experience for sure ( I have experienced literally) Good for medium size hall ( installation is not done - I unboxed the product myself) Sound quality- 4/5Bass -...,4
158552,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","Good Design And Built Sound Quality is also good bass is superb the Quality of inbuilt 2 subwoofers are goodConnectivity options are more like HDMI, Bluetooth and it comes with Bluetooth version 5.1, Coaxial, Aux Multiple Equalizer like movie, news, musicOverall a good soundbar from MIVI",5
158553,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",It was great to see that indiaâs most trusted brand to launch a sound bar.Made in India to mention on the top.I ordered 100w bluetooth sound bar and the setup was pretty easy.Sound quality has been really good with a perfect theatrical experience due to the two inbuilt subwoofers.The clearity is also good and the bass is simply upto the markElegant and stylish in looksCan easily control through already provided remote.The voice looks really clear in every corners of room.,5
158554,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","Superb....!!!! Fantastic ðI'm very much happy with this soundbar. I was looking for a good soundbar with adequate amount of bass.But surprisingly this Mivi Fort S100 bar produces sufficient bass, crisp mids and highs for your medium size room which will not bang your head. Watching movie is delight like gunshots, blasts etc.Sound is superb. Just feel like a dolby sound while connecting to hd videos with blutooth . Bass is fantastic. At this price best sound bar . Built quality is super. . U...",5
158555,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",This Audio product from MIVI is really awesome!!How??The crystal clear sound with perfect bass made it a valuable system for audio experience.I have tested with each of the modes available in the soundbar and it throwed super sound along with quality sound.I would recommend you to buy this product. Go for it!!,5
158556,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",Sound quality is amazing! Battery backup is great along with connectivity is pretty awesome. I love the bass as well as the quality of the sound! Mivi always amazes me with their different ranges of products! This one is the best soundbar speaker from mivi.,5
158557,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","No need of extra subwoofer. You can feel the thumping bass even in very low sound. Crystal clear sound. Recently I've removed my old intex 4.1 subwoofer & bought Mivi fort S100. Firstly, I was scared about bass...now I'm 1000% satisfied that I made the right choice. Premium look & built quality, value for money easy to connect and obviously Made in India. Sound lovers must go for it. My two children are enjoying it with their phones ðð",5
158558,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","The sound quality is very good, Bass is super and strick the heart.But one thing remember it gives the output best according to the input song quality. Connectivity very easy and easily reconnect with device. Looks nice and you can put it anywhere as all the speakers are covered with grill. No manual bass and treble control through remote. Low budget people can go for it because within this price range it is best. Overall quality of the product is impressive. Some photos are given for yo...",5
158559,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","One of the greatest products of MiviReally loved it!It's bass, it's audio quality, it's designs, it's everything is just great of greatest!It has everything of a home theatre squished inside a sound bar!!And lastly it is amazingly cheaper than the home theatres!!!",5
158560,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",I expect a powerful sound but it gives about 60w speaker of zebronics ..I bought 100w but it is totally waste of money..Doesn't meet expectations...And do not justify 100w it is like 50 w speaker or low bass is good but low sound ...overall not a good product. It may be flipkart doesn't show my review..for his or her benifit...,1
158561,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)",These are one the best sound bar I ever bought. They totally Turned my tv set into a home theatre and I loved the whole experience. Sound quality is superb and high and clear and bass is deep and so good. Highly recommended,5
158562,"Mivi Fort S100 with 2 in-built subwoofers, Made in India 100 W Bluetooth SoundbarÂ Â (Black, 2.2 Channel)","The sound quality is very good. Bass is super,,I feel like I'm in the theater.  Mivi Fort s100 best soundbar in this bugdet... Bluetooth get connects very fast..i should recommend everyone to go for it...",5
