Unnamed: 0,Product,Review_Summary,Rating
171779,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",The product was good not strong but perfect size perfect material,5
171780,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Nice ð,4
171781,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Good,3
171782,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Good,4
171783,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Superb quality. It is as shown in picture. Good quality.,5
171784,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",I received 5 Bowls and 5 are awesome ð worth to but it,5
171785,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Good quality product,5
171786,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Nice one â¤ï¸,5
171787,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Looks Small and Nice,4
171788,"NARV Pack of 5 Stainless Steel Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi - 5 Pcs Set Stainless Steel Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day, the 5-piece copper handi set, Prabhu Chetty, Curved Copper Plate at Bottom, Best Quality Stainless Steel Copper Bottom 5 Pic Handi Pot Set, Brown & Steel, 5 Pic Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi 5 Pices Sets Handi 0.65 L, 0.85 L, 1.23 L, 1.5 L, 2. L (Stainless Steel) Dinner Set (Microwave Safe) Dinner SetÂ Â (Silver, Microwave Safe)",Not bad ð Thank you,5
