Unnamed: 0,Product,Review_Summary,Rating
37778,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Good working ???,5
37779,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Working fine.....go for it its money worthy.,5
37780,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),"Super , Compact , trusteble product",5
37781,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Best price Best product,5
37782,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),"Satisfied with product, excellent working",5
37783,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),"Product is same as described buy the seller, good condition and in excellent working condition, only the time will test the durability of this product.",5
37784,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Very nice product as mentioned as voltage stabilisation it is very good Appricited all of you and manufacturing company and Flikcart,5
37785,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Osum product  purchase it very nice product,5
37786,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Nice product,4
37787,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Good product ???????,5
37788,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),"Super product,you can go for it.So far I haven't faced any issues since last 6 months",4
37789,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Please don't buy this product. Switching is on late process,1
37790,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),"Good product with better price, extended warranty by company.",4
37791,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Good product,4
37792,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Ok working fine,4
37793,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Waste money,1
37794,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Now it's working good,5
37795,Nextron NX-AE100 Voltage Stabilizer for Smart LED TV for 32/43/55 inchs+Set Top Box +home theater?ÿ?ÿ(Black),Good product. It was working good ??,4
