Unnamed: 0,Product,Review_Summary,Rating
82715,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Yeah... It's very good product and it works very good... Only thing that is ????????????very light weight... ????????????.. I'm very much satisfied with this product at this price.. ???? ???? ????,5
82716,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Very Nice & ultimate product & low cost also I thanks to much flipkart. I recommended to my friends also and product is exactly the same to same is delivery time also good .,5
82717,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),product good chipe and best . work well comfortable.,4
82718,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),good product and very fast workingI use this product from 8 month's and it works good,5
82719,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),super product great  working and sexy look I love this product,5
82720,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise)
82721,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"I am writing this review after using this product for 2 month. This product is very good one, wroth of money. This dry iron box is very light in weight, getting hot very fast and easy to use also. I can personally recommend this product to purchase.",5
82722,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),So far so good. Available heat adjustment for all type of clothes. Perfect product in good Price. I will recommend this product.,4
82723,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Fantastic look, Fast producing heat, Light weight and easy to carry. Works Good.",5
82724,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),I got this delivered yestersay. At first look... The iron looks very cute and handy... But the 1100W rating gives you all the advantages of a normal iron box that you use at home.  For a traveller this is just perfect... Loved it...,5
82725,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Powerful product thank you Flipkart it's a good quality super fast heat,5
82726,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),good product super very nice I am happy,5
82727,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),nice work these iron cool and easily hot,4
82728,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Best Iron. Got It for rs 319 in Diwali Sale. super fast heating. surface is very smooth.,5
82729,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),The iron is very handy to use and it really works great and a great value for money.. Really happy with this purchase.,5
82730,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Worth buying at best price. Light weight, good quality and good look. Flipkart delivery is also good. Happy with this product",4
82731,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Product is nice and compact. EASY TO USE.. It is the best in these price range.,4
82732,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),i like the quality and easy handle product and also looks nice not much space to occupy this ...,5
82733,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),It's an excellent product kindly keep up the reputation as long as the company exists b it in production n in its before n on time delivery services. Thank u NOVA n flipkart,5
82734,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Am happy with flipkart service.. It is a paisa vasool product. Very satisfied with nova iron box.. It works great.. Thanks to flipkart.,5
82735,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),I think it is best product in 300 INR. The heating time is very low as well as it works smoothly.,5
82736,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),The iron is really very gud in respect to the awesome price offered.. only the size of iron is bit small.. performance wise gudd,4
82737,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"I am so, happy this product is very nice , work is good",5
82738,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),I order for sis and she responded so positive she she is very happy she said it's very nice thank yoi flpkrt,5
82739,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Over all its a good product. You can buy it, i am a genuine buyer. Thank you team flipkart and reader.",5
82740,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Good one from nova... totally satisfied... working properly and body parts are of top quality, worth more than the actual price...",5
82741,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"very very good product.... only 389 paisa vasul product .Colour, look isvery nice Bt delivery is soooo late night 8:35 pm I'm nt happy ....",5
82742,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),good perfect iron  and wonderful color i like this,5
82743,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Rated as GOOD product, after usage of 2 months, post ordering. Value for money. We actually purchased it for travel purpose so its recommended for the same for portable reasons/light weight",4
82744,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nice product Very fast hot light weight Easy to care over all I am satisfied with this product thank you Flipkart and Thank you seller,5
82745,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Good Product as of now after a week usage. auto shut off feature and quick heating are good features. Could be the best choice if someone is deciding to buy a iron box at this range. Recommended.,5
82746,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Better than expectations it very nice product for daily use n it gets hot very quickly compare to other iron save alot of time good product,4
82747,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nova plus super good luck with the likes,5
82748,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),very nice product fast delivery thnk u so kuch flipkart amazing my iron is working properly,5
82749,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),amazingly brilliant i like this one so easy to use and operate,4
82750,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),build material is good Auto cut super work 360* move fantastic and size is not small but not a large,4
82751,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"It was a very good product, nd delivery was on time. I am  completely satisfied with the product. Thank you.",5
82752,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),amazing product at such a low price..so light in weight Nd easy to handle.must go for it for an affordable iron,4
82753,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"This iron is the best in it's price range. Don't get confused by its cheap price,  just but it. Perfect weight, perfect design, perfect heating, perfect colour. It's beyond my expectations. Just go for it.",5
82754,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Good one.. Bought it for daily use get heat in fraction of seconds however not suitable for denims and tough material clothes..overall nice product go for it.,4
82755,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),good quality and best quality and best performance in this rate best worth of money,5
82756,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"nice iron, very fast work and easy to use please must buy if you want.",5
82757,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),today I brought this product this item is working very well . value for money . I'm satisfied this iorn box why because of only based on it's work thanks to Flipkart,5
82758,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),it's ok,3
82759,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),I've been using this iron from last two weeks... And one of the things I liked about it was it heats up within 15 sec which is just awesome compared to my old one... Whether I'm in hurry in the morning or late for something.... this iron saves the day always... Better go for it. Best in class,5
82760,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),after 1 month iron work very good really really  nice and good working  iron value for money,5
82761,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Very light weight i loved it easy to use i'm so happy with this products....... Thnc u flipkart ??????,4
82762,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),It's totally awesome....,5
82763,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Pretty Good,. looks cool .. love this colour.. and built quality is awesome",5
82764,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),I'm very happy thank you and your sarviss very good thank you Flipkart,5
82765,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Good,4
82766,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Super,5
82767,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Avon is good iron but very sweet hot and I like it,5
82768,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Good quality, Flipkart, Good so Good Thank you.",5
82769,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),a good product with easy to handle.. easy to operate.. best product at this price,5
82770,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),nice product build quality is best and also is very good  awesome I am to much more happy,5
82771,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nice???,5
82772,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Good Product and Good Work,..",5
82773,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),wow  awesome product million thanks to sleep Flipkart for offering a genuine product in an affordable price,4
82774,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Good product for best price.really worth it after 1year 6 months it is in good condition,5
82775,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),excellent product at this price . heating is too fast and I like it I also like auto cut . thanks flipkart,5
82776,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Nova Plus Iron is very nice and colour is ousam I used regularly and very comfortable grip I AM very happy with buying this product .thank you very much Nova Plus,5
82777,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),so Nice this productvery good work doingit is a very useful,4
82778,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),its a good product for daily use sufficient heat nd wright also easy to handle really a nice product.,5
82779,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),very super amazing an very fast heat and smooth to using,5
82780,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Ok but not good,2
82781,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"little small but good my mother is happy with it,,, itne me itna hi milta h.... good",4
82782,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"it is vary handy and fast heating, light weight and all good. it would be best buy under 400",5
82783,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),it is very useful for my family it is very light weight it is very good product and I give it a 5 ???? and u also buy it from flipkart thank you flipkart,5
82784,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Working very well heats so quickly no need to wait, automatic power off and smooth ironing, got this at a very good deal at 299/- in big billion sale.",5
82785,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Thanks to Flipkart its awesome iron box fast heating and good style and so fast lightning delivery,5
82786,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),worth for 350 buck. good for shirts t shirts but with jeans and chinose won't work that effectively,4
82787,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Great product. I've been using this product for more than a month now... It heats quickly and the Teflon coating is of top quality. Thank you flipkart and nova,5
82788,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),it's not a that great product but u can iron u r things with it .you have the temperature controler but it is not working but the look is good and it will work fine if u don't mess with its internal circuits,3
82789,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),nice product fast and  effective so happy with this product,5
82790,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),very good product and comfortable all the people really i like to the product I feel very happy,5
82791,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Small, smooth, cute and easy to use. I'm using it now for 2months everyday and quite happy with it. ?§",4
82792,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),The product was deliverd faster and its is same as the product discription. The product is worth for money and i took it in ??349 in offer and works awasome...,5
82793,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Value for money for dry iron under 500/-.Surprisingly super fast delivery (first time ever from Flipkart)About the product:1. Easy to use, light weight and a has iron plate has a good surface area.2. 1100w makes it heat up quickly3. Build is good ( comparison with products under 500)",5
82794,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),great product and super fast delivery flipkart i am happy Thank you flipkart.,5
82795,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Worth for money...  Heating n cooling process will take place effectively... Light weight with enough length of wiring makes u feel good... I recommend u guys to opt for this...,5
82796,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"tooooo good and soft but its size is short I love it,and I bought 4 peases of this product because my friends are also impressed by this product",5
82797,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),It's a very compact iron box. Heating is very instantaneous and also the flat ironing surface provides a good finish to the clothes. Only thing is the plastic quality of the product which is on the downside. Finally I feel that the product is worth the price.,4
82798,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"I just purchased bit worth rs 350 and check it first time it superfast heat , This features i love a lot.It's like plug and use .You can buy this I still need to wait see it's durabilityThanks guys",4
82799,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),IAM writing this after using 2days based on price is good 389 Rs. and tempeture control is so delicate and heat is not more impresive over all good product good to use,4
82800,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),very good quality with comfort to handle .I bought 4 or 5 products of nova from flipkart .so nova company is best for electric product.,4
82801,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),"Nice iron on this price ??350,please everyone buy it instead of other in  high price.super quality, light weight, easy to carry and  fast heating .overall  is good",4
82802,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),Good product with this price I like the product Delivery also good I like flipcart process and time to time helpful mentality,5
82803,Nova Plus Amaze NI 10 1100 W Dry Iron?ÿ?ÿ(Grey & Turquoise),product was good works properly.. quality is awesome happy to shop from Flipkart..?????§?,4
