Unnamed: 0,Product,Review_Summary,Rating
141557,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Good product ??? use full production nice,5
141558,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Super product,5
141559,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,"Rate is cheap so the product is, life span also less. Most of the product are defective.",1
141560,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Good product compatible with P2 plus too,5
141561,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Very good product,5
141562,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Good,4
141563,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Good,5
141564,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Super,5
141565,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,"Very good cartridge for olivetti printer, go for it, you won't find it anywhere, in this price range.",5
141566,OLIVETTI PR2 Ribbon Pack Of 10 Black Ink Cartridge,Ok,3
