Unnamed: 0,Product,Review_Summary,Rating
47961,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",It's too good when we compare with the price and quality is also good i have simply decorated but still there are many ballons left it comes with 2 star ballons happy birthday cards and wall decoration at the back end and nearly 40 ballons of white and pink i think so totally satisfied with the purchase,5
47962,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Really good product... appreciated by heart â¤ï¸,5
47963,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Value for money. Very pretty colours exactly same as shown in picture. Loved this different shade.,5
47964,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Good,5
47965,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",So Good,5
47966,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Worth price. The quality of balloons are too good but must increase the number of balloons.,4
47967,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",It's amazing product thankyou so much Flipkart you're service is very good i love this product thankyou so much,5
47968,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Best,5
47969,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",It was nice but the number of white balloons was less and I've to buy more silver curtains from market because it was very small in size.,3
47970,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Beautiful,5
47971,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)","Value for money, amazing,same as shown in picture",4
47972,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",One of the best decorations ever boughtThe product matches exactly to the descriptionGot a lot of compliments for this decoration in the party,5
47973,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)","Only 10 pink ballons and 13 white balloons I got, and no 2 golden ballons..very upset by the product...they made me fool,, quantity of ballons is very less",2
47974,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Very bad ð,1
47975,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nice...,4
47976,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Simple is awesome ð,5
47977,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nyc,5
47978,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nice ð,4
47979,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nice product,3
47980,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Product is very niceð,5
47981,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Good,5
47982,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nice party breeze,4
47983,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Nise,5
47984,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Bad product..dont waste your money,1
47985,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)","Third quality, do not buy again",1
47986,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Balloons quality was good and colors are the same as in the product images. The only thing is the metal foil length was not enough for decoration.,4
47987,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Very best quality and product,5
47988,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Very nice .value for the money.,5
47989,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Exactly what I wantedðð¥,5
47990,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",It's good,4
47991,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Bad,2
47992,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Osum,5
47993,"PARTY BREEZE Solid rose gold pink white Happy Birthday Decoration Combo Kit with Banner, Balloons, Foil Curtain, star foil 48pcs for Birthday Decoration Boys, Kids, Girl, Husband, Wife, Girl Friend, Adult. BalloonÂ Â (White, Pink, Pack of 48)",Good,5
