Unnamed: 0,Product,Review_Summary,Rating
84669,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Good,4
84670,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Fantastic product happy with the purchase,5
84671,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",It is simply super and useful and value for money,5
84672,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Very good for citrus juice,4
84673,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Excellent product,5
84674,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Super product tanks to Flipkart,5
84675,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Very Good product easy to use,5
84676,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Torque is not enough. Jerking most of the times,3
84677,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Good finish. Looks like well built.,3
84678,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Easy to use. Good quality.,5
84679,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)","Worst design, very difficult to remove the parts for cleaning and again fixing back also big task ... Waste of money .. don't buy this product",1
84680,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",its perfect for citrus fruits and the performance is also too good,4
84681,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Good product Easy to clean Powerful motor,5
84682,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Easy to use...,5
84683,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Good product go for it,5
84684,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)","Review of 1 day useVery useful product, easy to use.Good Quality and designBuild quality is ok only, not great",4
84685,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Excellent product must buy,5
84686,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Good,5
84687,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Worst juicer,1
84688,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Nice and sturdy.. Does the work efficiently,5
84689,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",Nice,4
84690,"PHILIPS Citrus Press / HR2777 / 00_ 25 Juicer (1 Jar, Black)",it is very useful ð???ð???ð???,5
