Unnamed: 0,Product,Review_Summary,Rating
80914,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",Good,5
80915,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",Water leaks out of the tank,1
80916,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",I purchased it to gift some one...the moment it was opened it was shocking. Its was old stuff and problem was return date was over and still its lying at me..very disappointing....,1
80917,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)","It's good for sarees, lahangas and blazer. But not worth for iron of shirts and trousers",4
80918,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)","excellent product,very useful for  removing wrinkle from coats,sarees,printed garments,it may be used as a regular iron also:",5
80919,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",It is also time consuming to steam clothes. You have to hold the clothes all the time to steam them like you can??t steam the sleeves or back of the clothes without holding it.,4
80920,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",I am happy,5
80921,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",Nice product this is very helpful for us,5
80922,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",Its very panic work and takes more time than a simple steam iron,1
80923,"PHILIPS GC523/60 1600 W Garment Steamer?ÿ?ÿ(Gold, Water)",Very good product,5
