Unnamed: 0,Product,Review_Summary,Rating
83648,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","I was looking after this juicer since months and now when I have this one I can say that it is one of the smoothest juicer I ever encountered,Low noise and fast fruit processing. Excellent working. Easy to assemble and even easier to clean withing minutes.Thanks :)",5
83649,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","very capable juicer - beautiful, powerful and simple. does the job pretty good. I am satisfied definitely. Carrot and Sweet Lime juice has been so yummy, I no longer need to go to a juice shop.my winter nutrition is sorted - carrot and beetroot juice is part of my staple dietI just bought myself happiness with money and I am really proud of itBuying a juicer at this price point, might not sound convincing to people, they would say that they can get a juicer mixer grinder in lesser budge...",4
83650,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","I bought this product after reading so many reviews of other products as well. This product is best for home use. I tried with almost all the fruits. Be it carrot,Beetroot,pineapple,pomegranate,apple,orange. This product never disappointed me. It is very easy to clean as well. It looks cute and easy to carry.One small tip, if you are gonna extract juice of fruit with seeds like orange seeds. Do not press it with the presser provided. Just close the opening with your hand all the seed will b...",5
83651,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","This has been an amazing product. I'd researched on juicers and found this one at a reasonable price and that too from a reliable brand like Phillips.As showed on product page and reviews on YouTube, it's really easy to use and have I never missed a day without a glass of juice. I've tried mosambi, beetroot, bottle gourd, cucumber, pomegranate, tomato, apple, etc so far. Try mixing these with lime juice and black salt with ice cubes.",5
83652,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","Really a super juicer in affordable price, suitable for both vegetables and fruits. Only problem which I faced initially was removing the sieve after using the juicer. But, after frequent usage it became easy to remove the sieve.",5
83653,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","Best juicer ever I have seen...in just few seconds you ll get fresh homemade juice in your hand. Its looks beautiful, work very fast... sahi price me sahi chiz.. Superb..Thanks to Philips and flipkart",5
83654,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","Hello everyone,Bought this product two weeks ago. The product is fabulous and worth of its cost. Every product has pros and cons. This one too. Pros:1. No more physical heavy duty, pay the electricity bill. :D2. Efficient and incredibly fast. 3. No problem in cleaning the residues. Cons:1. Length of wire is very short.2. The residues still has almost 10% of juice in it. Mostly in case of Orange. ð??3. Formation of heavy foam in all juice. Conclusively, Just buy it.",4
83655,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)",Excellent product. This is my review after using the product for over 4 months. I bought this for my dad and it works well with less power consumption as compared to our past juicer. Highly recommended!,5
83656,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","This compact and gorgeous juicer has not only added to the beauty of my kitchen but also extracts a very good quantity of  juice with very less wastage as pulp. it's not the regular cumbersome juicer that you would dread to take out of the hiding. super easy to assemble and clean. You can easily extract orange juice without the fear of seeds getting juiced and making it bitter, which is a very common problem with other juicers. It also extracts juice from all sorts of veggies as well ( bottle...",5
83657,"PHILIPS HR1832/00 500 W Juicer (1 Jar, Ink Black)","Please take time to understand the difference between a blender and a juicer and then if you choose a juicer, i think this is the best one. Easy to juice and clean. Only thing i do not like about juicer is that it leaves a lot of fiber behind and i get just a quarter glass of juice out of one apple. Blending would be an ideal choice if you are looking for more juice.",5
