Unnamed: 0,Product,Review_Summary,Rating
173760,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",awesome product,5
173761,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",SR.ILANGOVAN. ATTUR  SALEM PLAY MP1-Smart WiFI 3D 4K Full HD LED LARGE Display High Picturi Quality GoodProduct,5
173762,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",good product,5
173763,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",Good,5
173764,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",Super quality good product,5
173765,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",I donâ??t have any update and no playstore is there own store it also very bad product dont buy it try somting alse,1
173766,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",Nice product I m happy,5
173767,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",Good product and value for money...,5
173768,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",it's really super and picture video screen wonderfull . tq to filpkart,5
173769,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",best projector in this range quality is very good,5
173770,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)",Excellent product,5
173771,"PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launched Android 8.0 Projector|Genuine Multifunction|Home Office & Entertainment|Bluetooth 4D keystone|300-inch Display |1920x1080P Portable Mini Digital Projector|VGA, USB, HDMI | Home Theater (4500 lm / Wireless / Remote Controller) Portable ProjectorÂ Â (White)","Very good projector ,nice video quality,good speaker,over all very nice product .",5
