Unnamed: 0,Product,Review_Summary,Rating
118850,"Pack of 2 Solid Men Black, Blue Casual Shorts","Well It's a good pair of shorts at a very reasonable price.Fabric Quality is good, as compared to price.shorts are comfortable for daily use, won't recommend them for sports.I am 5ft 11inches and correct size for me is 'M'..",4
118851,"Pack of 2 Solid Men Black, Blue Casual Shorts",Very good and comfortable,4
118852,"Pack of 2 Solid Men Black, Blue Casual Shorts",Very nice ????????????,5
118853,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good quality perfect fit,5
118854,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good product,5
118855,"Pack of 2 Solid Men Black, Blue Casual Shorts",Very comfortable and quality product I loved it... No need to search anymore just order this,5
118856,"Pack of 2 Solid Men Black, Blue Casual Shorts","This is my repeat purchase of this product. As it is very comfortable, fabric is excellent and size was exactly same mentioned in description. At this cost you won't get such a superb quality anywhere. Thanks Indiclub",5
118857,"Pack of 2 Solid Men Black, Blue Casual Shorts",very good quality polyester shorts,5
118858,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good quality,5
118859,"Pack of 2 Solid Men Black, Blue Casual Shorts","Quality is superb, better buy +2 than ur usual size.",5
118860,"Pack of 2 Solid Men Black, Blue Casual Shorts",It's very comfortable to wear and it's febric is also very soft and seems very nice.Really it's a valuable product in this price in comparison with some most popular brands which are available in market in very heavy range.,5
118861,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good qualityFitting all so nice,5
118862,"Pack of 2 Solid Men Black, Blue Casual Shorts",Fully comfortable.,5
118863,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good product,5
118864,"Pack of 2 Solid Men Black, Blue Casual Shorts",Nice product value of price...??,5
118865,"Pack of 2 Solid Men Black, Blue Casual Shorts",I got it for 319 which is good for a pairYou can go for itBut xxl is 36 and it's a bit tight so buy accordingly,5
118866,"Pack of 2 Solid Men Black, Blue Casual Shorts","A very good quality product at a decent price, comfortable to wear and has zipper pockets on both sides.",5
118867,"Pack of 2 Solid Men Black, Blue Casual Shorts",Awesome Product... Very comfortable... Don't think just buy... I've ordered total 6 pcs,5
118868,"Pack of 2 Solid Men Black, Blue Casual Shorts",Best quality and comfortable.,5
118869,"Pack of 2 Solid Men Black, Blue Casual Shorts","Fabric , stitching & interlocking is best..U can trust on this product.....?????????",5
118870,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good ???,5
118871,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good material. Let's see if it's comfortable for summer or not.,4
118872,"Pack of 2 Solid Men Black, Blue Casual Shorts",Not good quality but ok,3
118873,"Pack of 2 Solid Men Black, Blue Casual Shorts",Worst product ever,1
118874,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good quality short,5
118875,"Pack of 2 Solid Men Black, Blue Casual Shorts",Excellent fabric quality in this price range. Thank you flipkart and INDICLUB for genuine products.,5
118876,"Pack of 2 Solid Men Black, Blue Casual Shorts",Very nice products,4
118877,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good gabric,5
118878,"Pack of 2 Solid Men Black, Blue Casual Shorts","Nice product, quality good, colour same as picture. don't worry buy it ???",4
118879,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good ????,5
118880,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good quality,5
118881,"Pack of 2 Solid Men Black, Blue Casual Shorts",Bad quality its one side pocket were already teared and i lost my realme neo earbuds from them ....worst experience ever with this,1
118882,"Pack of 2 Solid Men Black, Blue Casual Shorts",Good product,5
118883,"Pack of 2 Solid Men Black, Blue Casual Shorts",What a product...... Superb,5
118884,"Pack of 2 Solid Men Black, Blue Casual Shorts",Perfect fit. Very good product. Just go for it.,5
