Unnamed: 0,Product,Review_Summary,Rating
119210,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts","Well It's a good pair of shorts at a very reasonable price.Fabric Quality is good, as compared to price.shorts are comfortable for daily use, won't recommend them for sports.I am 5ft 11inches and correct size for me is 'M'..",4
119211,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Very good and comfortable,4
119212,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Very nice ????????????,5
119213,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good quality perfect fit,5
119214,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good product,5
119215,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Very comfortable and quality product I loved it... No need to search anymore just order this,5
119216,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts","This is my repeat purchase of this product. As it is very comfortable, fabric is excellent and size was exactly same mentioned in description. At this cost you won't get such a superb quality anywhere. Thanks Indiclub",5
119217,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",very good quality polyester shorts,5
119218,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good quality,5
119219,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts","Quality is superb, better buy +2 than ur usual size.",5
119220,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",It's very comfortable to wear and it's febric is also very soft and seems very nice.Really it's a valuable product in this price in comparison with some most popular brands which are available in market in very heavy range.,5
119221,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good qualityFitting all so nice,5
119222,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Fully comfortable.,5
119223,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good product,5
119224,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Nice product value of price...??,5
119225,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",I got it for 319 which is good for a pairYou can go for itBut xxl is 36 and it's a bit tight so buy accordingly,5
119226,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts","A very good quality product at a decent price, comfortable to wear and has zipper pockets on both sides.",5
119227,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Awesome Product... Very comfortable... Don't think just buy... I've ordered total 6 pcs,5
119228,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Best quality and comfortable.,5
119229,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts","Fabric , stitching & interlocking is best..U can trust on this product.....?????????",5
119230,"Pack of 2 Solid Men Dark Grey, Grey Casual Shorts",Good ???,5
