Unnamed: 0,Product,Review_Summary,Rating
124814,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","Product quality is much good, jaar quality is  excellent, and juicer jar plastic quality average..Motor power is normal..",4
124815,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice.. But over heating...,4
124816,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","Thank you flipkart....good,better nd best quality..",5
124817,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",some heating issues arise during initial run and wiring of machine is not good as compare to price is burning inside,1
124818,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Very good product. One jar only come with handle. But picture shows 2jar with handle. Others wise everything ok.,5
124819,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Mixi was good and thee was no leakage found. Product is osm at this price.  Budget friendly mixie.,5
124820,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Very good product,5
124821,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","Dont buy this, product is not working after one week  of purchase",1
124822,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Product Not so good for family use.Am single staying so it's okay. But recomended for a family.Jar quality is poor.Materials and washer not up to the mark.Cable of Mixer grinder is low quality.Best for single person use for limited purpose.,1
124823,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Never ever buy this totall wasted,1
124824,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Value for money.. nice product,4
124825,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Superb product,5
124826,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice product,5
124827,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice product,4
124828,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",NYC product,5
124829,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Very Bad product. Fumes comes from the motor while the installation. Jars are not fixing properly.  Dont buy. poor quality product. waste of money,1
124830,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Poor products,1
124831,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Never ever buy this totall wasted,1
124832,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Worst product,1
124833,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Not working waste of my money,1
124834,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","It's good, but that jar is very small, for two peoples it's enough, but in family more than two peoples means don't buy this, go for bigger jars, overall the product is working fine, satisfied",4
124835,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Very nice,4
124836,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Avrrage,3
124837,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice quality ððð,5
124838,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Jar blade tap is punched so it's not nice,1
124839,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Very Bad product. Fumes comes from the motor while the installation. Jars are not fixing properly.  Dont buy. poor quality product. waste of money,1
124840,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice,3
124841,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Everything is good but the quality of the juicer jar is a  normal,5
124842,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","Nice product,for value",5
124843,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",value for money,5
124844,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)","Waste of money..over heating, all jars are smaller size",1
124845,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Not satisfied ð¡,3
124846,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Ok,4
124847,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice product,4
124848,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Ok,5
124849,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice warmingBest,5
124850,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Good,4
124851,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Bad,1
124852,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice product,4
124853,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice Product,4
124854,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Nice,5
124855,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Good,5
124856,"Pigeon Favourite 15024 500 W Juicer Mixer Grinder (4 Jars, White)",Good,4
