Unnamed: 0,Product,Review_Summary,Rating
185901,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),"The stones, steel vessel and plastic are of fine quality. Easy to operate. Motor is super powerful at the first use. I will re-review after some more use. As the main operation is doing by the motor and stones, we have to compromise on the sound generated while operating. Packing was good and the product got delivered surprisingly faster. 3 days before the promised date.",5
185902,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Nice  ????   flipkart,5
185903,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Good,5
185904,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),This item very use ful middle class family thanku so much flip cart,5
185905,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Thanks filpkart ????????? nice products,5
185906,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Product is really good and helpful,5
185907,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Very nice this grinder this price,5
185908,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Good,5
185909,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Very very worst product don't buy this product so many problems this grinder. ???????????????????????????????????????????????????????????­???­???­???­???­ Totally waste of my money ????,1
185910,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Nuce,5
185911,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Super product....... Thanks you flipkart,4
185912,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Super value for money,5
185913,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Super,5
185914,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Good,4
185915,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Excellent thanks for your delivery.,4
185916,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Nice ?????????????§??§?,5
185917,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Very nice and good,5
185918,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Good,1
185919,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Nice product????????First i got a product with a small switch complaintThe replacement product is very awsomeNice ..Exact same product  what on catalogue,5
185920,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Heating issues,3
185921,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Product good but brand logo not moulded only stickered,5
185922,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Good quality and power save and Smart look and noice is very low and Best price Thanks you FLIPKART ???????????????????,5
185923,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Super productBut small leakage,3
185924,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),"Tthank you to delivery boy vishnu, it's very worst product",1
185925,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),So beautiful thank you Flipkartni,5
185926,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),Slow process and over heating,1
185927,Pigeon Supremo Wet Grinder?ÿ?ÿ(Cherry Red),"Worest not working product, 1st two much noice, that's y I'm return product, 2nd one not working",1
