Unnamed: 0,Product,Review_Summary,Rating
186639,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Nice grinder.. tilting type is very easy for me to transfer ground flour into a vessel.. grinder is very fast than normal type grinder.. moreover it is 3 litre so that very useful in grinding more and stocking up for a week.. delivered soon ...tq flipkart,5
186640,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Really nice and compact.. Made idli fast than my old grinder and tilting is best.. Best value 3litre in this range.  The product is worth and great..,5
186641,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"I purchased this product with some offer. Delivery delayed due to heavy rain at Chennai, product box looks old and thermocol damaged inside box but grinder looks new, no damage.Initially I was hesitated to purchase the product but after purchased the product I feel like taken right decision. Weight is little more but acceptable for 3 liters capacity, stone & motor weight. Ladies can easily lift or change to some other place after dismantle the grinder.Build, Grinding quality is outstand...",5
186642,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Worth for the price. Quality is very good. Grinds in quick time compared to other grinders. Very easy to handle. Overall I'm very much satisfied with the product and I will recommend this product to my friends also.,5
186643,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"excellent product ,low noise  ideal for home use. wish you all the best",5
186644,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Wow????????? superb grinder i really impressed very god ??????????????????????????? thank u ??????do mach flip cart,5
186645,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"The tilt angle suitable to decant the drum cannot be possible on plain surface.If machine is placed higher over an edge, the tilt angle is achieved but drum is inside the frame making it impossible for the vessel to be placed below the Drum.Overall stand design need to be improvised.",3
186646,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Drum rotation is not centric. Stone is very ok.,4
186647,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),nice one,5
186648,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),I was satisfied with the performance.Better than the most advertised brands,5
186649,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good product,4
186650,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"Good speed ,does the job faster,convenient to remove the batter,as well as clean.",5
186651,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),So far so good.Would change the review if something goes bad.Edit:Don??t buy this at all ????After first month its not working. No proper response from customer care. Going to throw this away.,1
186652,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"we have been using this grinder for last 1 year, taking 4 hours to grind  1/2 kg rice & getting very heat.Informed to flipkart customer care but no response.",1
186653,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good noiseless wet grinder. Excellent quality product - made in India.,5
186654,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Super grinder for All,4
186655,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good,4
186656,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good product,5
186657,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good,4
186658,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Super in packing and we got the product safely to our home thank you Flipkart,5
186659,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Super quality super,5
186660,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Really good machine... very less noise. Grinds effortlessly.. checked specs from various company. Ponmani is a trustable company.. other manufacturers machines are costly with this kind of quality.A perfect cost to value machine.,5
186661,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Very nice product,5
186662,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Nice product  quality is very good,4
186663,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Excellent,5
186664,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Don't buy this product I am received damage productFraud company,1
186665,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Not a good packing Quality 3/5 Finishing of product is not good Overall 4/5,3
186666,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),I am very happy with the performance of the product and also design.thanks to the flipkart.,5
186667,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),"Good performance, less sound, best thing is atta mixing attachment we can mix chapati atta in hardly 5mins with this.",5
186668,Ponmani Power Plus Tilting Wet Grinder?ÿ?ÿ(Red),Good product,5
