Unnamed: 0,Product,Review_Summary,Rating
186857,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Best buyFirst time i ordered.. the delivery was quick but yhe steel drum was bent a bit so asked for replacement.. and the return was smooth and quick wirh quick delivery of the new product which is running well.The batter becomes really smooth and in no time compared  to our previous one.,5
186858,Ponmani Power Wet Grinder?ÿ?ÿ(Red),First time i am using this product.All are working good.Grinding qiuckly ane very niceTilting is not good. need to improve it.(If i tilt it is not locking that position i have to hold the grinder that position then only i clean it. I mean there is no locking/gripping arrangement to hold the grinder at any angle. I seen this locking arrangement in sowbhaya),4
186859,Ponmani Power Wet Grinder?ÿ?ÿ(Red),With the tilting option it's easy to grind,5
186860,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Damage and recondition product totally waste,1
186861,Ponmani Power Wet Grinder?ÿ?ÿ(Red),nice,3
186862,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Product is nice. Excellent delivery. Thanks to delivery team.,5
186863,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Good,4
186864,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Good work,5
186865,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Nice,4
186866,Ponmani Power Wet Grinder?ÿ?ÿ(Red),Nice product good working received in good packing,5
