Unnamed: 0,Product,Review_Summary,Rating
186150,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),"A good product,  but I had to replace it due to some technical issues. Overall a good one,  my mom is happy with the quality of the product.",5
186151,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super excellent happy I am satisfied,5
186152,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good product worth for money,5
186153,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),don't buy this product.it's not working one month.Expecelly don't buy  from flipkart they are not providing proper service to buyers don't lose your money be careful.,1
186154,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),"Product look wise good.after one month of use I feel few defect from this grind.mainly over heat, over soundNot able to grind properly..time not working properly sometimes it shows 90 to 10 within 2 min.Take long time to grind.for this money it not worthy to buy this wet grinder..it my personal opinion after experience with this wet grinder..",2
186155,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),1stone is not running,2
186156,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Excellent product and I'm very happy...,5
186157,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),This item is not working,2
186158,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Worth for the price,5
186159,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good product,5
186160,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Grinder not working,1
186161,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Terrific one ?????????????,5
186162,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),It's ok,3
186163,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Excellent product.,5
186164,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good,4
186165,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Very very very very Worst product please don't buy this product because within 5 months it has been repairedCustomer service representative not responding properly,1
186166,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good,4
186167,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Very poor quality not working in properly hot ??? wet grinder,1
186168,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Really amazing ????????,2
186169,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Nice products,5
186170,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),"Worst Item, this item life span only 2 months after it will come blast moter",1
186171,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good product,4
186172,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Waste,1
186173,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Don't go for it... Nothing special... Waste of money... Go for prestige pwg 07 or 08 which are available at low price that this one,3
186174,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super,5
186175,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Satisfied,5
186176,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good,5
186177,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Worth every penny,5
186178,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super good,3
186179,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Noice is coming and 20 minutes after heating machine,3
186180,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super good ???,5
186181,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Gud,5
186182,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super,5
186183,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Looking good,5
186184,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Without timer you can't do,3
186185,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Don't wast ur money,1
186186,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Nice product,5
186187,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Not as expected quality,2
186188,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Nice,4
186189,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Not bad,4
186190,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good,4
186191,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Not grinding properly.Difficult to shift the batter.Dont buy.Product is not good.,1
186192,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good delivery,5
186193,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Supar,5
186194,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Pls don't buy any one waste of money,1
186195,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good product ????,5
186196,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good product. Works as expected . No problems till now.,5
186197,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Nice product,4
186198,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good,5
186199,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Not bad it's okay..,3
186200,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Awesome,5
186201,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Super ????,5
186202,Prestige PWG 09 Wet Grinder with Timer?ÿ?ÿ(Black),Good quality,5
