Unnamed: 0,Product,Review_Summary,Rating
172813,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Super prodect,5
172814,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Very nice,3
172815,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Good material but very small,3
172816,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",The handis are perfect ...But the size is small as expected..,5
172817,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Very good product,5
172818,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",nice,5
172819,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",AverageThis is not a big  deal very small size but happyð,3
172820,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Too small,2
172821,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Not worth buying.. .,1
172822,"RBGIIT Pack of 8 Stainless Steel Stainless Steel Copper Bottom Cooking & Serving Biryani/Punjabi/ Pot /Handis mirror finish design Handi Copper Vegetable Bowl ,Cooking Dinner Table Serving Biryani Pot Handi Kadhai , Panikarilikka Steel Handi Perfect Copper Handi Set for Everyday Use Whether you want to cook a delicious serving of your favourite sabzi or heat leftover curries from the previous day Stainless Steel Copper Bottom Cooking Serving Pot Biryani Handi serving Handi/tableware/storage containers/bakeware/ dinner set/ kitchen set steel item for home appliances and kitchen serving cooking combo set with lid/cover/dhakkan/ storage container copper handi /URLI set fruit and salad bowl Cookware set Cookware/ Container/pot pan/patila/bhagona/Serving bowl/biryani cook & serve Set Dinner SetÂ Â (Steel, Microwave Safe)",Good product but size is small,4
