Unnamed: 0,Product,Review_Summary,Rating
58747,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)","Good quality product with 7 colour led light gives deadly look to this gaming keyboard.The body of this keyboard feels sturdy ,strong and stable.Build quality is superb at this aforadable price.Now I have a complete set to play games.ð",5
58748,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",I like the keyboard and mouse very much ..But one side of the mouse has no light it's ok Very good quality recommend,4
58749,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)","Good product for the price , the keys are good nit that great , and u can't change the rgb it is fixed",5
58750,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",The product is good and impressive. I impressed my crush and friends. You can impress everyone. So don't think just buy this product. The Typeing experience is awesome and gaming experience is was unbelievable. Your parents accept this product.This review is paidâï¸Just kidding man its not paid it's fair review ok!,5
58751,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Amazing Build QualityBudget Friendly Though the keyboard only has still lighting but all-over a value product.,5
58752,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Good,4
58753,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",If you want the gaming vibe in ur desk in low budget ... definitely u can go for these product ...It does make ur desk look cool ..... According to the price point ...its a great product but i just wish tat we could atleast adjust the brightness of the rgb which is missing ....Apart from tat no issue âï¸,4
58754,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Good looking,4
58755,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Great keys and light are great and 6 button mouse are great all keys working,5
58756,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Keyboard light is not good low light but Mouse light is awesome,4
58757,"RPM Euro Games Gaming Keyboard and Mouse Combo | Keyboard - With 7 Color Backlit | Suspension Caps | Backlit | 104 Keys | Mouse - Upto 3200 DPI, 4 Levels|6 Buttons | 7 Color RGB Wired USB Gaming Keyboard (Black) Wired USB Gaming KeyboardÂ Â (Black)",Lighting is osm and keyboard and mouse are just osm value for money to for it...,5
