Unnamed: 0,Product,Review_Summary,Rating
49155,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",It's good,5
49156,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Amazing product & Quality is very good,5
49157,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Worth money,5
49158,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",I am soo happy good product ð,5
49159,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Nice,5
49160,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Nicccccc,5
49161,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",The decoration item are awesome and I am happy you can buy this product,5
49162,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Very nice,5
49163,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Nice product,5
49164,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Osam celebrate meterial,4
49165,"Realistic Store Printed Happy Birthday Multi Dot Foil Letter Balloon With HD Multi Metallic Balloons & Curtain Gold For Girls Decoration kit Letter BalloonÂ Â (Multicolor, Pack of 45)",Very nice products,5
