Unnamed: 0,Product,Review_Summary,Rating
48552,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Best decoration ever,5
48553,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Nice products,5
48554,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",It's Excellent... Balloon Quality Marvellous..,5
48555,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Nice birthday party material.,5
48556,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Not satisfied with the golden foil,2
48557,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Bad very bad,1
48558,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Excellent.,5
48559,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Very beautiful,5
48560,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",ðð½ supar,5
48561,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Awesome,5
48562,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Thanks,5
48563,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Best bhut best hai,5
48564,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Good,3
48565,"Realistic Store Solid Happy Birthday Decoration Kit Combo - 53 Pcs Birthday Banner Golden Foil Curtain Metallic Confetti Balloons For Boys Girls Wife Adult Husband Mom Dad / Happy Birthday Decoration Item BalloonÂ Â (Multicolor, Pack of 53)",Quality is okk,4
