Unnamed: 0,Product,Review_Summary,Rating
146591,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Nice car best battery back up,5
146592,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Excellent product I am very happy,5
146593,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),I have obber black car but bivler red car,5
146594,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Product is good but it's charger is unable to charge the battery.,3
146595,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Very bad,1
146596,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Battery is not good,2
146597,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),A low-quality made-in-china toy that will stop working after a week.,1
146598,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Good,5
146599,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Nice,3
146600,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),I ordered a Rock crawler and I got the Rock crawling cart.i hated this it is not made for off-roading it is very slow it is 2 wheel drive.it is ridiculous.,1
146601,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),You are reading reviews so don't take this product ????????,1
146602,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Product is good but the battery backup is not well Battery backup is too much worst..,1
146603,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Very good??????,5
146604,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Very bad product baterry is so poor,1
146605,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Don't buy this item...very cheep quality..item changed,1
146606,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Very powerful,5
146607,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Good bit battery backup is not good,3
146608,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),It's good.,5
146609,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),it is a Bite nice,4
146610,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),awesome bite,1
146611,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),This  product is very very bad cheap quality,1
146612,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),"They didn't provide  instructions and there are no shells in remote also... quality is worst, doesn't deserves a single*",1
146613,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Good,4
146614,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Very disappointed fully copy. its not as show picture . Its rock clambing  cart  but and 2 wheel drive . Battery .. in remote 3 AAA IS NOT       IN CAR ONLY 3 BATTERYS TYPEI  REPLACE IT.,1
146615,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),BUY THIS THIS IS VERY GOOD BUT IT IS NOT 4X4,3
146616,Rock Crawler Waterproof Remote Controlled Rock Crawlerr RC Monster Truck (Blue)?ÿ?ÿ(Blue),Damaged,1
