Unnamed: 0,Product,Review_Summary,Rating
31859,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,"Worth to buy, very easy to use. Good for 4-5 family members. It's operating cost is even less than maid  charges.Machine operating sound is less than washing machine. Water consumption is only 12 liter for whole cycle.Good for environment too.",5
31860,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Excellent working super shining good dishwasher from Samsung it's work very low noise performance is good it's usefull for 4 to 5 members,5
31861,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Only 4 wash programs available,2
31862,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Received Damaged Product Seller is Refuse to Return on this Product Return Policy is eligible 10 days am unable to create my return request very very bad experience dont purchase this item anyone in flipkart.,1
31863,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Good one for the family of 4-5people. Though it has 2 trays which are enough. If u go for higher variant u get 3 trays but this is enough. Good purchase in big billions sale. Go for it.,4
31864,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,It is not cleaning vessels nicely. Taking too much of time..,1
31865,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Very nice,5
31866,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Excellent Installation and very well explanation.,5
31867,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,The product is good...,5
31868,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Very fast and responsible,5
31869,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Value for money ...,4
31870,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,"Dishwaszqher is good and hygienic clean the only problem is fixing of in water tap,the thread is 3/4 inch which is difficult to fix",3
31871,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,this product is cool,5
31872,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,"This is not good,all dishes are not washed clear, totally waste of money",2
31873,SAMSUNG DW60M5042FS/TL Free Standing 13 Place Settings Dishwasher,Minimum Running time of the product is 3hrs,1
