Unnamed: 0,Product,Review_Summary,Rating
129296,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","I am updating the review. The charging problem earlier was in my phone which I got fixed, now I can see improvement in the speed with this charger compared to the 15W CHARGER The difference is not too much, but yes 25 w is a bit faster than 15 w charger .As you can see in the 2nd picture, with 72 percent already, super charger shows 48 mins more at 9.52 PM But I think it should be done with 15 minutes. Let's check. Will update here.It's 100 percent now at 10.34 It took the phone 42 Minute...",4
129297,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",One more Good Experince from Flipkart .. Best deal ... Initially felt like first copy .. but after checking the part no. seems like Genuine Samsung product .. no Heating issues what so ever ..,4
129298,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","Works perfectly fine! Charging time has reduced by almost an hour for my A52, very satisfied and would definitely recommend it.",5
129299,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",good fast charger work wery well with my s21+,5
129300,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",I initially ordered a cheaper one from Ambrane for my Pixel 6A because this was for around 2000. The cheaper one short circuited within a month. I bought the Samsung charger after that. The build of the charger is good. Quick Charges my Pixel 6a.Anyone who's buying a charger I'll strongly suggest to buy a brand original or a charger from some other reputed brand.,5
129301,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Worked perfect for pixel 6a. As it is PD charger. Rapid charging. Got good deal in big billion days sale. One star less for poor packaging.,4
129302,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Perfectly compatible for pixel 6a . --- it matches both the specifications required by pixel 6a1) not more than 30 w . ( Google customer care told me )3) PPS support .3) PD 3.0 .Charger the device in approximately 1 hr 40 minutes .,5
129303,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",This charger is good for genuine product.The fast is 14min takes time to full charge.When ever I am charging my mobile no heat issue and super fast charge is awesome product. Thank u flipkart family.,5
129304,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","Original product, charges my f23 5g phone in 1 hr 23 min",5
129305,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Im using for Samsung s20 fe 5g nothing much different than 15w stock charger and 25w costly charger. Just 10mints different not worth buying,2
129306,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","Excellent speed, genuine product. Before ordering make sure that ur phone input watt. *Cable not includes in the box",5
129307,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Super Fast charging,4
129308,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","Excellent Product,Charges my Galaxy S21 FE within 1:20 hours....",5
129309,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Good Charger it Charge my Samsung Galaxy F23 in just 1 hour and 13 minutes from zero % . I highly recommend for Samsung device.,5
129310,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Quality is good ???,5
129311,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Thanks to flipkart,5
129312,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","Original Samsung Fast Charger 25W... using with ambrane type c cable..working perfect with samsung A52... its showing ""super fast charging"" on phone display...i have also verified part number at online...original genuine...",5
129313,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",This is best for sumsung galaxy m33 5g mobile . And 90 minute me full charge hojaye ga. Very good product ?????????????????,5
129314,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Super fasting charging adaptor of 25 W,5
129315,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Good and genuine samsung charger.Its taking 1.30hr for Samsung galaxy s21 Fe 5g to charge.Better than 15W charger.,5
129316,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Super ????,5
129317,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Using it with portronics type c to type c cable for my Samsung M52 (5000 mAh battery) . It takes 30 min for 0-50% and 1 hr for 90% & 1 hr 20 min for 100%.,5
129318,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",No improvement in charfing time with s20fe...waste of money..,2
129319,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Original samsung adapter and built quality is also very good.,5
129320,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)","After 6 days of using, now  the charger is not working",1
129321,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",An original charger in low price by Flipkart. Fast delivery also thank u Flipkart. Must buy without any hesitation.?????????????¯?????¯,5
129322,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",After two months my charger damped...not taking charge now,1
129323,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Original samsung product,5
129324,"SAMSUNG Original 25W , USB -C Compatible Power Adaptor for all Samsung Devices (Fast Charge 2.0)?ÿ?ÿ(White)",Slow charging after 2 month,1
