Unnamed: 0,Product,Review_Summary,Rating
128554,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It's truly fast,5
128555,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Nice product,5
128556,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Bakwass 5000 mah battery 0 to 100 =2:30,1
128557,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Adaptor is good but data cable work very slow.,4
128558,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Awsm ????,4
128559,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",So good protect ??????????????,5
128560,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good,5
128561,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good quality,4
128562,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It is not good don't take,1
128563,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Cheap quality it is not a fast charger,2
128564,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good quality,4
128565,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It is not good don't take,1
128566,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Cheap quality it is not a fast charger,2
128567,"SB 30 W 4 A Mobile 30W -VOOC,DART,FLASH with Type-C Cable Charging Adapter Travel Fast DH078 Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)","Not upto Mark,Charging rate is very slow",1
