Unnamed: 0,Product,Review_Summary,Rating
130060,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super charger really 33w Charger it comfortable with my redmi note 10,5
130061,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good product,5
130062,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",When you use this charger you get hang problem  prices wise ok but its have hang problem..,3
130063,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Charging was speed but it was a quick heat of adopter,3
130064,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very fast charger,5
130065,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It's a VOOC charge charger but after putting the phone on charge the phone gets hanged for sometime then it's get normal ... But in this price it's good ...,3
130066,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Fast charger no working 2 minute work automatic of normal charge work,1
130067,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very slow charging,1
130068,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very good,4
130069,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very cheap quality....It's not good Don't waste your money in it.It's a useless product,1
130070,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super,4
130071,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",good,5
130072,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good,4
130073,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Awesome ????,5
130074,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It was not charging faster,1
130075,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Not a fast charge,1
130076,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super fasht,5
130077,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Cable kharab h very bed,1
130078,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Fast as shown,5
130079,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good,3
130080,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very bad,1
130081,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",It's good charger very fast charging,5
130082,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",I have heat issue of charger but not bad to use,3
130083,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super very good,4
130084,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Best Quality Fast Charger Thanks Filpcard,4
130085,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super,4
130086,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Top and best product ???????¯,5
130087,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Excellent very super fast charger,5
130088,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Waste...it's not working properly,2
130089,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Nice,3
130090,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Very nice product,5
130091,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good mi note 10 pro,5
130092,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good protect,4
130093,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good quality,4
130094,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Nise,5
130095,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good,5
130096,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Nice good,4
130097,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good Dalewary boy,5
130098,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good,3
130099,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Good product,5
130100,"SB 33 W 4 A Mobile 33W -VOOC,DART,FLASH DH561 with Type-C Cable Charging Adapter Travel Fast Charger with Detachable Cable?ÿ?ÿ(White, Cable Included)",Super past charging,4
