Unnamed: 0,Product,Review_Summary,Rating
152993,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",wonderful camera,4
152994,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",very good product awesome,5
152995,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",good quality with good product,5
152996,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",Not bad,3
152997,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",ok,4
152998,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",Nice,5
152999,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",Gert job,5
153000,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",exillent,5
153001,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",ok,5
153002,"SOS JOVO IP Dual Antenna Wi-Fi CCTV CAMERA Wireless, HD IP Security Camera CCTV, Supports up to 64 GB SD card, Fully Night Vision, Smart Monitoring System, Compatible With Mobile & Tablet, Security CameraÂ Â (64 GB, 1 Channel)",It seems the product is used and very ild and is delivered in very poor condition...and its defective ..not working ....this is what they are providing to customers...,1
