Unnamed: 0,Product,Review_Summary,Rating
37922,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)","Value for money product, best in qualityQuality product looks very sturdy and stylishVery useful to keep to remote and set top box organizedDelivered intact and without any damagesPrice is very reasonable and less than what is available in market.",5
37923,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Good quality item. Thanks to flipcart,5
37924,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Super,5
37925,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Good quality ????,5
37926,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Awesome ????,4
37927,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Nice ???,5
37928,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Nice,5
37929,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Nice quality,4
37930,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Superb product,5
37931,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Ok quality good in look,3
37932,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Good,5
37933,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Good product,5
37934,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Tough material..fulfill my purpose..very very happy...,4
37935,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Very nyc product. But rate is very high,5
37936,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Great fiting good quality,5
37937,"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, White, Black)",Awasome,5
