Unnamed: 0,Product,Review_Summary,Rating
83078,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)","Very good product, well packed, and easy to use, worth to buy ð???ð???",5
83079,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Enjoying healthy carrot juice.Effiicient machine.Quick and eazy to use.The locking mechanism could have been stainless steel.Three cheers to flipcart for the excellent price and quick delivery.,5
83080,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)","Thank you sooooomuch for this,it's amazing product,easily iam preparing all type of juices like grapes, carrots, beetroot and also coconut for coconut milk,it's excellent product",5
83081,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",i think this is a best juicer with heavy moter.,5
83082,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Power full product,5
83083,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Outstanding juicerAwm work Fablous lookOver all fantastic vegetable fruits juicer,3
83084,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Best product ð??,5
83085,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Very powerful product . very nice,5
83086,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Super ð???ð???,5
83087,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",High quality motor,5
83088,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",i was sent an incorrect product..a gas stove instead of juicer and they are not taking it back,1
83089,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Superb juicer its very effective for various kind of juices im loving this productð???ð?¥³ð?¥³ð?¥³,5
83090,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Nice,5
83091,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",More garbage is come bakwas,2
83092,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Very nice product especially for those who sell juice in summer season.. Just needed a jar with it...And the delivery was too late... But the product is worth the money.. If you want it just press the buy now button and go for it...,5
83093,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Plastic quality not good.. cleaning is very difficult,3
83094,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Bad products.. not properly work,1
83095,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Awesome,5
83096,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)","Juicer was ok, but description is buy juicer u get 1jar this description misguide customer bcz when u get juicer they didn't pack jar,so disappointed be care ful guysss....",1
83097,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Very powerful product and is working very efficiently so far.,5
83098,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Good product,4
83099,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Very good jucier,5
83100,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)","Juicer can extract the juice, but the quantity is as per the cost of the machine. I see the juice when I squeeze the pulp extract with my hand. Expected it will work much better. So what ever reviews I saw are all fake, including the ones I saw on you tube. I also see some veg slices along with pulp. Finally, I again have to filter the juice as there is some pulp left. I feel I wasted 5K on this hopeless product.",2
83101,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Super correct and bitroot juice is ð??¯ % done,5
83102,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)","Performance of the product is good but it's bit difficult to clean it. Manufacturer should think about it.Delivered at promised date, thanks to Flipkart..",4
83103,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Very smooth product with good quality,4
83104,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Wrkng asowem,5
83105,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",Good.,5
83106,"SUJATA by SUJATA Powermatic 900 W Juicer (1 Jar, White)",good,3
