Unnamed: 0,Product,Review_Summary,Rating
71908,SUSI Small plant growth Grow Bag,I am very happy  grow bag is very attractive and Good,5
71909,SUSI Small plant growth Grow Bag,Fine,5
71910,SUSI Small plant growth Grow Bag,Super,5
71911,SUSI Small plant growth Grow Bag,Not bad.,4
71912,SUSI Small plant growth Grow Bag,Good,5
71913,SUSI Small plant growth Grow Bag,Normal,2
71914,SUSI Small plant growth Grow Bag,Good,4
71915,SUSI Small plant growth Grow Bag,Good quality,5
71916,SUSI Small plant growth Grow Bag,Good quality,5
71917,SUSI Small plant growth Grow Bag,Good product,4
71918,SUSI Small plant growth Grow Bag,Best product good quality,4
71919,SUSI Small plant growth Grow Bag,Very good,4
71920,SUSI Small plant growth Grow Bag,Very best product,5
71921,SUSI Small plant growth Grow Bag,Good for this price,4
71922,SUSI Small plant growth Grow Bag,Best,3
71923,SUSI Small plant growth Grow Bag,Very useful for home gardening value for money long lasting,4
71924,SUSI Small plant growth Grow Bag,Gud,4
71925,SUSI Small plant growth Grow Bag,Product is awesome ð,5
71926,SUSI Small plant growth Grow Bag,Nice,3
71927,SUSI Small plant growth Grow Bag,Ouality is not good poor guality,3
71928,SUSI Small plant growth Grow Bag,Very poor quality,1
71929,SUSI Small plant growth Grow Bag,good product,5
71930,SUSI Small plant growth Grow Bag,Value for money...good looking .. but  no longer material,4
