Unnamed: 0,Product,Review_Summary,Rating
44209,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),This is the latest version of one of the best selling HDDs of Seagate with encyrption feature which was not available is previous models and 3 years data protection.It says on description only USB 3.0 but any usb is backward compatible so don't worry if you have 2.0 port.Transfer speed is stable and great enough so you can expect constant 120 MB/s+ transfer rate with 3.0Though I bought blue colour I'll suggest you to go for black one cause it will look better.931GB is usable out of 1TBI ...,5
44210,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),It said 2tb. But free space is 1.81 tb. Where is rest 19 tb? When it said 2tb there will be some space for the company won purpose so they should give that much free space extra right. We paid for 2tb but there is deficit of 19tb is a cheating. But no one can speak on that as every one taken this lightly. Money does not come free. You could charge for how much free space you are giving. By saying 2tb giving 1.81tb free space is not acceptable.,1
44211,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),"This is my 4th Purchase from Seagate, I got at price of Rs. 8,144 for 5TB Ligt Blue color, Performance of Hard Disk is Very Good, Main feature is you get 1 time Data Recovery Software Valid for 3 yearsVery Compact & Portable compare to 5tb sizeDon't go for WD as SEAGATE offers better Value & Best Quality Product",5
44212,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),"Bought 5TB OneTouch, actual storage available 4.5T, really Sad. Speed is great as it mentioned on USB 3.1. All the facilities also great, can Lock, Backup, Mirror files. They gave Adobe Creative Cloud. I need to check with my S10 lite if it can connect through OTG, would be great then.",5
44213,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),Wow â¤ï¸â¤ï¸1. Fast Delivery with in 3days2. Fast file transfer speed (130mpbs)3. Cloud backup4. Red color is just 5. 3 year warranty6. Lite weightOverall Recommend to Buy. ð¥³,5
44214,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),Looks durable. It is very compact and feels almost like a 2.5 inch SATA drive. Seagate software for backup and locking the drive is pretty good too. Would have loved a Type C connector in the box but it is what it is. 1.8 TB is usable out of 2 TB.,5
44215,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),"Fresh product from manufacturer, superfast delivery. Using it for 4 days, speed is 35-52 Mbps. Don't worry Usb 3.0 persons, you will get the mentioned speed. Backward compatible with USB 2.0 , meaning you can use this harddisk in your old laptops and desktops. Didn't check on mobile and smart TV's. 3 year warranty, after registration through connecting the drive to internet enabled computer. Overall great experience.",5
44216,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),Been using this for 3 months now.. First of all you get only 4.5tb space out of 5tb remember that.. Second thing is the copying speed entirely depends on your processor and ram.. This thing can copy at max 120mb/s in my 8gb ram i7 processor laptop but copies at max 60-70mb/s in my another 2gb ram i3 processor laptop.. Build quality is trash.. Protect it like a baby.. Even small drops could damage entire frame(plastic).. Must buy a case... As for protection you can use seagate toolkit for pass...,5
44217,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),"Worth to buy....Light weight and compact design.No need to Format.... Neither quick format nor normal format is required for brand new HDD, As it comes pre-formatted. Since normal formatting may take upto 12 hours to complete.Speed performance is more satisfactory if you are transferring files HDD to C/D drive and same for vice versa. But it may take longer time in case of HDD to external item like Pen drive, memory card, HDD etc.Overall 4 out of 5.",4
44218,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),Best security system and other packagesðð» but need to improve plastic quality. It have a chance to slip there is no grip. Otherwise its a good product.,4
44219,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)Â Â (Light Blue),Seagate 1TB hdd.. Super compact storage device. Very useful and portable. it may be get damage when you drop this down. So better order a case for this hdd.,5
