Unnamed: 0,Product,Review_Summary,Rating
111169,Self Design Men Three Fourths,I like the product but i want a pocket at the back also.......,3
111170,Self Design Men Three Fourths,Its good,5
111171,Self Design Men Three Fourths,the product is impressive. Mine was a 3XL i.e for waist size 42. in the picture you can see there are zippers in both the pockets and can also check the stitches if interested. It's quite comfortable to wear.,5
111172,Self Design Men Three Fourths,Awesome,5
111173,Self Design Men Three Fourths,"Colour, quality, price, length, delivery.. everything on time.My Papa is happy with the product.you can go for it guys.????",5
111174,Self Design Men Three Fourths,nice product.. fast delivery,5
111175,Self Design Men Three Fourths,Quantity as Rs 100,1
111176,Self Design Men Three Fourths,Super product,5
111177,Self Design Men Three Fourths,Nice,5
111178,Self Design Men Three Fourths,pocket is pathetic otherwise good for daily use.,2
111179,Self Design Men Three Fourths,vego good company i am happy,5
111180,Self Design Men Three Fourths,vego good company  i am happy,5
111181,Self Design Men Three Fourths,super i bougt my husband v good cloth and comfortable bee happy,5
111182,Self Design Men Three Fourths,GPS gramms per square metre means thickness should be more for all satisfaction,3
111183,Self Design Men Three Fourths,Kinda okeysh..... Stich quality is ok. Gd for middle class ppl,1
111184,Self Design Men Three Fourths,Very nice three fourth???? I liked it very much.,5
111185,Self Design Men Three Fourths,Reasonable price of this product,5
111186,Self Design Men Three Fourths,Its absolutely gorgeous and stylish,5
111187,Self Design Men Three Fourths,Very good quality,5
111188,Self Design Men Three Fourths,Good,5
111189,Self Design Men Three Fourths,Good,3
111190,Self Design Men Three Fourths,Good,4
111191,Self Design Men Three Fourths,Nice,4
111192,Self Design Men Three Fourths,Very nice product,5
111193,Self Design Men Three Fourths,Nice,5
111194,Self Design Men Three Fourths,It's nicee,4
111195,Self Design Men Three Fourths,Nice product. As expected.,5
111196,Self Design Men Three Fourths,Nice product,4
111197,Self Design Men Three Fourths,Very First Delivery And Lovely product,5
111198,Self Design Men Three Fourths,"Nice product, as of today it is looking goodNo colour changeWorth for money",4
111199,Self Design Men Three Fourths,Poor quality clothes not good,1
111200,Self Design Men Three Fourths,Great deal from Flipkart.,5
111201,Self Design Men Three Fourths,Comfortable and good quality,5
111202,Self Design Men Three Fourths,Good material and fit with zipper pocket. Good after wash,5
111203,Self Design Men Three Fourths,Beautiful with soft material....Very comfortable,5
111204,Self Design Men Three Fourths,Superb,5
111205,Self Design Men Three Fourths,"Best quality shorts , recommended to buy",5
111206,Self Design Men Three Fourths,Good,4
111207,Self Design Men Three Fourths,Fabric is best and fitting also perfect...,5
111208,Self Design Men Three Fourths,my second time purchase..worth it,5
111209,Self Design Men Three Fourths,Nice three fourth pant ????????,3
111210,Self Design Men Three Fourths,Not a super good product in this price range . It's good that's all,3
111211,Self Design Men Three Fourths,Good,5
111212,Self Design Men Three Fourths,Super,5
111213,Self Design Men Three Fourths,Very very nice,5
111214,Self Design Men Three Fourths,Nice,3
111215,Self Design Men Three Fourths,Awesome pant within budget,5
111216,Self Design Men Three Fourths,Not bad,5
111217,Self Design Men Three Fourths,Okay,5
111218,Self Design Men Three Fourths,Good ???,5
111219,Self Design Men Three Fourths,Nice,5
111220,Self Design Men Three Fourths,Best of the best,5
111221,Self Design Men Three Fourths,Very niceNice product????????????????????,5
111222,Self Design Men Three Fourths,Nice quality,4
111223,Self Design Men Three Fourths,The product fitting is not as mentioned in description. It looks like a girl's fit .. skin tight short,1
111224,Self Design Men Three Fourths,Very nice,5
111225,Self Design Men Three Fourths,Superb se v upar,5
111226,Self Design Men Three Fourths,Nice????,5
111227,Self Design Men Three Fourths,Must buy products,5
111228,Self Design Men Three Fourths,Great products,5
111229,Self Design Men Three Fourths,Nice   meteriyal,4
111230,Self Design Men Three Fourths,Good quality products. I liked it,4
111231,Self Design Men Three Fourths,Very nice product,5
111232,Self Design Men Three Fourths,Too good comfort and nice coliti,5
111233,Self Design Men Three Fourths,Very good product,5
111234,Self Design Men Three Fourths,Not comfortable,2
111235,Self Design Men Three Fourths,It's v good,5
111236,Self Design Men Three Fourths,Good fitting... Good material... Size 38,4
111237,Self Design Men Three Fourths,quality and slim size is fit .,5
111238,Self Design Men Three Fourths,Good,4
111239,Self Design Men Three Fourths,Nice,5
111240,Self Design Men Three Fourths,Awesome thanks flipcart,5
111241,Self Design Men Three Fourths,Ok,3
111242,Self Design Men Three Fourths,Super,5
111243,Self Design Men Three Fourths,Nice Prodeck.,4
111244,Self Design Men Three Fourths,Good one,5
111245,Self Design Men Three Fourths,Quality is very bad. After 15 days is cloth holes,1
111246,Self Design Men Three Fourths,Nyc product with good cloth quality,5
111247,Self Design Men Three Fourths,Good,5
111248,Self Design Men Three Fourths,Nice,4
111249,Self Design Men Three Fourths,Good quality,4
111250,Self Design Men Three Fourths,Super,4
111251,Self Design Men Three Fourths,Mind blowing,5
111252,Self Design Men Three Fourths,Quality is medium. Ok quality,3
111253,Self Design Men Three Fourths,"Awsm..  I'm very happy to get this one, exact colour, quality, stichting, everything is 10 on 10.. thanks vego and thanks flipcart",5
111254,Self Design Men Three Fourths,The product was good as excepted.Cloth was also fine.I m giving this review while wearing it.lol????,4
111255,Self Design Men Three Fourths,Fabric quality is good and pockets are with chain.,5
111256,Self Design Men Three Fourths,Super product thanks to flipcart,5
111257,Self Design Men Three Fourths,Nice,5
111258,Self Design Men Three Fourths,Nice fit comfortable,5
111259,Self Design Men Three Fourths,The product in the picture and what I got is bit different.....diss appointed,1
111260,Self Design Men Three Fourths,Okay okay,4
111261,Self Design Men Three Fourths,Super,5
111262,Self Design Men Three Fourths,Super,5
111263,Self Design Men Three Fourths,niceone . gofor it,4
111264,Self Design Men Three Fourths,"Thank you Flipkart for this nice product.Nice fitting,    Cloth nd colour is fine",5
111265,Self Design Men Three Fourths,Very nice ???,5
111266,Self Design Men Three Fourths,Outstanding product!It is really cool and comfortable to wear,5
111267,Self Design Men Three Fourths,Avg quality,3
111268,Self Design Men Three Fourths,It barely covers the knees for a 6' tall person. The fabric quality is average.,3
111269,Self Design Men Three Fourths,Quality is not good,1
111270,Self Design Men Three Fourths,perfect,5
111271,Self Design Men Three Fourths,It's a nice product,5
111272,Self Design Men Three Fourths,super,4
111273,Self Design Men Three Fourths,As early to be delivered and nice fit,5
111274,Self Design Men Three Fourths,good,5
111275,Self Design Men Three Fourths,size not standard,1
111276,Self Design Men Three Fourths,Good to see and good comfort,5
111277,Self Design Men Three Fourths,Nice product...loved it.,5
111278,Self Design Men Three Fourths,pocket zip quality poor,3
111279,Self Design Men Three Fourths,zip quality poor,3
111280,Self Design Men Three Fourths,nice quality,5
111281,Self Design Men Three Fourths,very good product,5
111282,Self Design Men Three Fourths,Nice,4
111283,Self Design Men Three Fourths,Very nice vego,5
111284,Self Design Men Three Fourths,no words simply long lasting for heavy usage i am a gym trainer its fits perfect for me,5
111285,Self Design Men Three Fourths,wow,3
111286,Self Design Men Three Fourths,more quality needed,3
111287,Self Design Men Three Fourths,"Good quality. I felt it was bigger than a three forth trouser, maybe because of mismatch between size xxl and my height.",5
111288,Self Design Men Three Fourths,product is ok,2
111289,Self Design Men Three Fourths,very nice 3/4th. very comfertable and material is also very nice.,5
111290,Self Design Men Three Fourths,Not recommended,1
111291,Self Design Men Three Fourths,Not recommended,1
111292,Self Design Men Three Fourths,Nice product.... Very comfortable... Valuable money valuable product...,4
111293,Self Design Men Three Fourths,nice product,4
111294,Self Design Men Three Fourths,Fabulous,5
111295,Self Design Men Three Fourths,"Not good quality, it's very small size",1
111296,Self Design Men Three Fourths,good one,5
111297,Self Design Men Three Fourths,The material is like that of gunji....thicker than that of course.....good product,5
