Unnamed: 0,Product,Review_Summary,Rating
33260,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"Bought it during diwali sale. Prompt delivery with installation and demo on time. Kudos flipkart and entire team. Coming to the product, machine is a perfect one. Does its job well except few dry and hard stains which needs little scrub before loading in dishwasher. Fantastic machine. Just go for it.",5
33261,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"Fantastic product! No need to depend on maid. Manage home at our convenience. Very good results in wash quality. It is very easy to use and reduces water use by more than half. Delivered on time and demo arranged in 2 days. Thanks Flipkart for quick delivery and arranging demo cum installation services.At the time of demo, for tap connection an adapter Rs. 300 is to be paid. Otherwise it's completely free installation service.",5
33262,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Awesome product. Freedom from the maids.. cleans utensils so good that you will fall in love with it. Can handle so many utensils together. Economical compared to the maids. Needs few days to get accustomed. Bosch service is so great..,5
33263,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Got it delivered within scheduled time.Installation before time.However I gave a call to seimens service the day it was delivered.Good for a member of 3.Effective Washing with tablet rather than detergent.Satisfied.If anybody is planning to buy go for it.,5
33264,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"it is a very nice washer. low noise. takes about 1.5 hrs to wash a full load on eco. installed and demo was delayed by 4 days ( my place  is 10 km from City center) but contacted Flipkart, they escalated it and person came the next day. we need angle watertap ( one with threads on it ) for installation. get one before you call the agent.",5
33265,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"Great performance, but price has been jacked up by all brands in past couple of years. Its unethical.",4
33266,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"Had the machine deliverd on Friday by Flipkart as promised...Happy with the delivery, but here's where Flipkart lost the plot. Till Wednesday they could not arrange for a demo and installation despite repeated reminders. All they could come up with were requests for more time. Finally decided to call Siemens on my own and was surprised to know that they had not received any communication from Flipkart. Siemens sent a technician within 4 hours of the call. Now for the machine. I have been usin...",5
33267,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,excellent  product,5
33268,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,"Very good machine, quick delivery, fast installation.",4
33269,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Value for money. Received dishwasher in Good condition.Excellent service n demo received.,5
33270,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Just OK,3
33271,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Amazing product,5
33272,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,Great shine on utensils,4
33273,Siemens SN26L201IN/SN256W01GI Free Standing 12 Place Settings Dishwasher,delivery and installation took longer than expected,4
