Unnamed: 0,Product,Review_Summary,Rating
148657,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),Very good machine and works excellent job! Best surprise gift from my husband,5
148658,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),Superb product at a good bargain. Fast delivery. But quality of flexible cover could have been better.,5
148659,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),Quite nice for family use. I bought this to replace the three decade old traditional sewing machine that has started showing it's age. Wife and mom is pretty happy with it since it is quite easy to operate. Additional stitch types is an added advantage over the traditional one. Tested all stitches and there are no skips or misses. I thought this might be as noisy as the traditional one but it is surprisingly much quieter. The lamp on it is an LED one instead of the filament type that I saw on...,5
148660,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),I loved the machine I received ....and I should say Flipkart delivery was awesome...it was really fast .It has been one month since I bought the machine and it's working fine till now. I'm a beginner and I could learn sewing with this .it's good for home requirement . I don't know about the embroidery stitches cos I haven't started learning that yet. Can't stitch thick clothes though.  And I feel including necessary accessories like hemmer foot would have been better. Accessories like embroid...,4
148661,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"singer is a most popular brand in the world,establish dated 1851,so go blindly with singer brand.now performance of machine is good ,eye catching model.according to local market price flipkart gives best budget deal.singer FM 1409 model is most popular model.is a next generation sewing machine.comparatively usha,balaji,brother is alos popular brand but performance,price singer is best.now i am fully satisfied with singer fm 1409 so all of u go blindly with singer.also thanks alot for seller,c...",5
148662,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"Good product great packaging. As a beginner it is comfortable to use this machine, the threading is very easy. The demo video of the product was very helpful.  Different stitches and tension changing everything is very easy.Threading the bobbin is also easy. Overall the product is worth the money and a very good buy for beginners.",5
148663,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"gud one ,for home use,liked it .There s a video on youtube by a channel named Keshu Saini dat describes the machine demo perfectly..It helped me a lot..And i bought the product for 5174 after some bank discounts and using flipkart coins.Update..working fine till date ,only thing is u need to know the machine before u start especially threading bobbin placemt etc ..once u get used to it ,den stitiching is easy",5
148664,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"Stitching is OK good but hemmer foot (piku) is not available in this stationary tool kit. I am very sad. We purchase it. And stitching is very easy, pressure foot is very smooth not a hard. It's very good. Thanks to flipkart.",4
148665,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),excellent sewing machine easy to use and handlyeasy to carry budget price in machine I am 2 month to use this machine to my experience is very good so best machine to singer 1409 electronic sewing machine but but peacock foot is purchase in 175 thanks to Flipkart...,5
148666,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"I am reviewing this product after 7months of purchase. very Good product, very good for home purpose. My mother is very Happy with this sewing machine as she used to make blouse, salwar and other ladies garments with the help of this sewing machine very smoothly. Flipkart delivery is also very good.",5
148667,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"if you have no experience than not confused yourself whether go with manual or automatic .I personally recommended go with automatic its so simple  & go with SINGER 1409 .NO words excellent , best in quality. great product....thanks SINGER",5
148668,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),works as promise... I m first time user of sewing machine and it made it so easy for new learner like me..,4
148669,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"excellentit is very easy to handle, compact design, nice look, overall excellent product.",5
148670,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),Amazing product at great price. Got it at 5999 in offer. Gifted to my mother on her birthday and she really loves it!!!!,5
148671,Singer FM 1409 Electric Sewing MachineÂ Â ( Built-in Stitches 9),"earlier we had a cheapo grade Chinese machine, that was useless, now after buying this machine, work is done in a jiffy ð. it's alloy grade iron casting machine, so I can stitch jeans and heavy bags with suitable needles. liked it very much.",5
