Unnamed: 0,Product,Review_Summary,Rating
111329,"Solid, Printed Men Three Fourths","Quality of the cloth is not good, after one wash cloth tear . Don't buy this. Waste of money.",1
111330,"Solid, Printed Men Three Fourths",Ossam very good qulqti,5
111331,"Solid, Printed Men Three Fourths",as it is as picture worth of it,5
111332,"Solid, Printed Men Three Fourths",Good,5
111333,"Solid, Printed Men Three Fourths",Verygood,5
111334,"Solid, Printed Men Three Fourths",Good product,5
111335,"Solid, Printed Men Three Fourths",Normal quality,3
111336,"Solid, Printed Men Three Fourths",Good,5
111337,"Solid, Printed Men Three Fourths",Just ok,3
111338,"Solid, Printed Men Three Fourths","Good clothes,must try",5
111339,"Solid, Printed Men Three Fourths",Nice product ???,5
111340,"Solid, Printed Men Three Fourths",Just ok... Can wear like night use..,3
111341,"Solid, Printed Men Three Fourths",Good,4
111342,"Solid, Printed Men Three Fourths",Superb Quality. Worth buying ????????,5
111343,"Solid, Printed Men Three Fourths",Good product ???????,5
111344,"Solid, Printed Men Three Fourths",Good,5
111345,"Solid, Printed Men Three Fourths",Nice product at lowest price,4
111346,"Solid, Printed Men Three Fourths",Good,4
111347,"Solid, Printed Men Three Fourths",Nice product,3
111348,"Solid, Printed Men Three Fourths",Too good,5
111349,"Solid, Printed Men Three Fourths",Good but Yadav amount,4
111350,"Solid, Printed Men Three Fourths",Average,3
111351,"Solid, Printed Men Three Fourths","Material not good , fitting worse",2
111352,"Solid, Printed Men Three Fourths",Poor,1
111353,"Solid, Printed Men Three Fourths",Ok,3
111354,"Solid, Printed Men Three Fourths","Very good quality,  comfortable to wear",4
111355,"Solid, Printed Men Three Fourths",Super cloth,5
111356,"Solid, Printed Men Three Fourths",Great,5
111357,"Solid, Printed Men Three Fourths",material quality is good thank you flipkart,5
111358,"Solid, Printed Men Three Fourths",Ok,3
111359,"Solid, Printed Men Three Fourths",Just 2 months... Nd not more than that.... Colour faded.... Poor quality...,1
111360,"Solid, Printed Men Three Fourths",Just good,3
111361,"Solid, Printed Men Three Fourths",Good. But thin,4
111362,"Solid, Printed Men Three Fourths",Nice,4
111363,"Solid, Printed Men Three Fourths","Somewhat okay. Quality not that much worth for money, also stritching",3
111364,"Solid, Printed Men Three Fourths",Nice,5
111365,"Solid, Printed Men Three Fourths",So good,5
111366,"Solid, Printed Men Three Fourths",good cotton material as required for summer and fitting also nice,5
111367,"Solid, Printed Men Three Fourths",Bad quality.,2
111368,"Solid, Printed Men Three Fourths",Low quality fabric,2
111369,"Solid, Printed Men Three Fourths","Good fabric, excellent print and very expandable.",4
111370,"Solid, Printed Men Three Fourths",Material is so bad ..damage in one wash ...,1
111371,"Solid, Printed Men Three Fourths",Good one.,5
111372,"Solid, Printed Men Three Fourths",Good material.,5
111373,"Solid, Printed Men Three Fourths",Nice,4
111374,"Solid, Printed Men Three Fourths",Very nice,5
111375,"Solid, Printed Men Three Fourths",Very nice product,5
111376,"Solid, Printed Men Three Fourths",Quality low,2
111377,"Solid, Printed Men Three Fourths",Nice product,5
111378,"Solid, Printed Men Three Fourths",Nice,5
111379,"Solid, Printed Men Three Fourths","The quality of cotton is great for this summer heat. However the only drawback is the pockets. They have provided zippers, they aren't very useful. But for others it might be. The tracks were cheap and best.",4
111380,"Solid, Printed Men Three Fourths",Good,4
111381,"Solid, Printed Men Three Fourths",Nice product,5
111382,"Solid, Printed Men Three Fourths",No good,2
111383,"Solid, Printed Men Three Fourths",Super cloth go for it,5
111384,"Solid, Printed Men Three Fourths",Excellent,5
111385,"Solid, Printed Men Three Fourths",Good Product,5
111386,"Solid, Printed Men Three Fourths",Comfortable and fit,5
111387,"Solid, Printed Men Three Fourths",Quality is good,5
111388,"Solid, Printed Men Three Fourths",Worth for the money,5
111389,"Solid, Printed Men Three Fourths",Nice product,5
111390,"Solid, Printed Men Three Fourths",Very nice product ???? satisfied ????,5
111391,"Solid, Printed Men Three Fourths",Yahh good....,5
111392,"Solid, Printed Men Three Fourths",Quality and size are very good on received condition,5
111393,"Solid, Printed Men Three Fourths",Nice product ????????????????,5
111394,"Solid, Printed Men Three Fourths","Comfort  is good and quality is ok, overall it is worth to buy.",4
111395,"Solid, Printed Men Three Fourths",Good quality super,5
111396,"Solid, Printed Men Three Fourths",V good product.,5
111397,"Solid, Printed Men Three Fourths",Comfortable 3/4 track pants.,5
111398,"Solid, Printed Men Three Fourths",Awesome ???????,5
111399,"Solid, Printed Men Three Fourths",Meterial is not good,2
111400,"Solid, Printed Men Three Fourths",Nice product,5
111401,"Solid, Printed Men Three Fourths",Good quality and perfect size.,5
111402,"Solid, Printed Men Three Fourths",Excellent fit and good material.,5
111403,"Solid, Printed Men Three Fourths",Good quality in this price range,4
111404,"Solid, Printed Men Three Fourths",Super nice ??? tq so much for flipkart,5
111405,"Solid, Printed Men Three Fourths","Nice product, cloth quality is very good also size   Thanks",5
111406,"Solid, Printed Men Three Fourths",Very bad quality and it is not good,1
111407,"Solid, Printed Men Three Fourths",Good quality???? full cotton.,5
111408,"Solid, Printed Men Three Fourths",Nice product,5
111409,"Solid, Printed Men Three Fourths",Very economical and good quality material too,5
111410,"Solid, Printed Men Three Fourths",Quality issue,1
111411,"Solid, Printed Men Three Fourths",Nice,5
111412,"Solid, Printed Men Three Fourths",Not bad super,5
111413,"Solid, Printed Men Three Fourths",Excellent,5
111414,"Solid, Printed Men Three Fourths",Fantastic quality,5
