Unnamed: 0,Product,Review_Summary,Rating
36795,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)","excellent product the best quality ,very very nice it is unbreakable and beautiful to house  thankue flipkart.It is suitable for our Airtel HD setup box and 2 remotes.",5
36796,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",nice,5
36797,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",Very Nice,5
36798,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",Very nice ???? thank you Flipkart,5
36799,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",Useful one.,5
36800,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",Nyc,5
36801,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",VERY GOOD,5
36802,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",Awesome quality and good stand,5
36803,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",good quality,5
36804,"Supreme Bazaar Abs Setup Box Holder Unbreakable Crystal Clear Premium Quality Set of Box Stand/Dth Stand Plastic Wall Shelf?ÿ?ÿ(Number of Shelves - 1, Clear)",nice product and good quality also ..s.ame as in the fig,4
