Unnamed: 0,Product,Review_Summary,Rating
144658,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)","Toys are fabulous according to price, looks sturdy, multicoloured, attractive and swift. Makeup material Plastic looks good quality. No need of batteries or Remote control as written in description. It works on wheel acceleration both forward and backward.Able to swing 360?ø and do some stunts as rubber on wheels is good enough for much grip on any surface.Delivery from Flipkart was quick but low grade packaging carton quality disappointed.",4
144659,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Super,5
144660,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)","Awesome toys. Very strong. My kid loves it, and I love it more :).But after I purchased, it's price dropped.",5
144661,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Beautiful ??ø,5
144662,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Cars are very good,4
144663,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",The colours and quality of these cars is too good as accepted,5
144664,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Good looking,5
144665,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)","Super quality in minimum price, used this for 15days just awesome performance, just buy it",5
144666,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Amazing,5
144667,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Nice car.. Worth fr money.. U can buy it????,4
144668,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Nice toys,5
144669,"TITIRANGI 4 Pack 4WD Monster Truck Cars,Push and Go Toy Trucks Friction Powered Cars 4 Wheel Drive Vehicles for Toddlers Children Boys Girls Kids Gift-4PCS?ÿ?ÿ(Multicolor)",Nice cars,5
