Unnamed: 0,Product,Review_Summary,Rating
148523,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Model- Archer C6(US) Version- 3.20Processor-  MediaTek7621 Dual Core @880MhzRAM- 128MB DDR3I have 1Gbps Connection. The upload and download speeds are as follows-Lan-Download- 980MbpsUpload-990MbpsWi-Fi-5Ghz(80Mhz width)-Distance- 0-10mtr with direct line of sightDownload- 550MbpsUpload- 600 MbpsDistance- 20Mtr with 1 wallDownload- 400 MbpsUpload-350MbpsDistance -30 Mtr with 3 wallsDownload- 10MbpsUpload- 8Mbps2.4Ghz(40Mhz width)Distance- 0-10 mtr with Direct ...,4
148524,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Router is slim, 2.4g signal is good can get up to 4 wall max but 5g signal is weak after a wall it can't penetrate,I bought this to use as a wifi repeater and works great getting abv 60+ mbbs compared to 20+ with the portable tplink extender,I though it would support openvpn client but not there is only server option and u had no option to flash custom firmware like open-wrt as SoC is differrent frm earlier modelI would have rated 5 star,if It had supported openvpn client but for the price i...",4
148525,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Product meets the specifications. Once I upgraded my WiFi router, I can see the internet speed jump 2 fold and able to get the best out of my broadband plan. Recommended if anyone is using high speed broadband connections like 800Mbps and above",5
148526,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","The Best In The Budget !!!!Pros : Premium LookingC6 is better than A6Full Gigabit and needs a full Gigabit connectionStable and High Performance Range is good even on many blockage and speed doesn't dropped even in 2 wifi signals100mbps+ easily in 5GHz Wifi (POCO M2 Pro)Cons:40mbps in 2.4Ghz Wifi Band (Realme C3), maybe better in other phonesPower On Time is near about 2minHigh Temperature / Heating but doesn't affect performance",5
148527,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Probably the best in its price range. Does awesome amplification both over 2.4GHz as well as 5GHz. And comes with a 3 year warranty too.I have a 50mbps connection which would yield a speed of about 42mbps earlier. But, with Archer C6, the speed test reveals speeds even higher than 50mbps at times.",5
148528,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Best in market... After used 3 days i realize than its far better then A6.. . Great range almost cover my 2000 sq. Feet 3 bhk bunglows.. eventhough it fitted in my bedroom...,5
148529,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Tp-Link Archer C6 AC1200 V3.2 Best Router For My House          As Expected But The Package Has A Minor Dent On The Box And It's Heating When Plugged For First time And It's Heating Now Also I Don't know The Reason But The Network Connectivity Is So Good And The Internet Speed Is Awesome On 100 MBPS Plan It's Giving 92.2Mpps Download Speed And 94.16Mpps Upload Speed.Thanks For Reading This Review,4
148530,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","This is an awesome product!TP link, in fact, is the best brand in the world of routers. All routers work better with smart features than any other brands. TP link Archer C6 is perhaps the best amongst the TP link routers in particular considering its price and variegated performances. I'm happy with the product. Thanks Flipkart also.",5
148531,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Only Flipkart has this dual band latest router. Good coverage on 2.4 GHz. Faster speeds with 5ghz channel. Thank you Flipkart for the fast delivery just 2 days.,5
148532,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","2.5g range is good but 5g range is not good. If you keep router in hall and close the bedroom door then 5g signal will not reach. 2.4 range is very good and speed is good too on this.I wanted bandwidth control options, even old wifi router has it but not this one.Rest is fine",4
148533,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Very fast delivery and good packaging. Delivered within 24 hrs ???????????????,  About the product -Good built quality, High speed internet, Good coverage 5/5 ??Thanks flipkart for wonderful service and product ????????",5
148534,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Great ! Superb product. Timely delivery. Easy to install, works fantastic. A must have product for home usage. Work from home, on-line school, smart TV, Tablets, Mobiles works great after this product in configured.Thanks TP-Link & thanks Flipkart",5
148535,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","The router is really great. The app which is used to configure in through the mobile is for very basic config. In case we want config it personally them we'll have to use gateway address only. 2.4hz range is really good, buy the range for 5Ghz  is less. Many are tempted to buy this since it's a mu-mimo router, but that works only in 5ghz mode. Purchased this exclusively cause mine is a 3 floored house which has 2 routers one on top most floor and there other in the ground floor, and at any gi...",5
148536,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Router is amazing. It has all the features I need. The only thing that I don't like about this router is that it does not have USB Port. I wish it had a USB Port. Also the LED Lights are static, they do not blink. The router I used earlier has blinking LEDs, on heavy WiFi usage, the WiFi Led starts to blink faster. I would like to see this feature also in this router.",5
148537,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Reviewing after using for 2 months:. At first the stability is awesome . The consistency is also marvellous . Lan ports are also Fantastic. Sometimes i forget to switch off the router for 6-7 days. And it never legged in this two months. The perfect value for money ?????????,5
148538,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Had a very old router earlier so had issues with speed and range and connectivity,etc. This router is very good. Supports multiple devices very well without any drop in speed and connectivity. 5Ghz connection and normal connection both are very stable and give good speed(given that you have taken good internet plan). Also this is recommended by most IPS so it's better to but this one as thier technicians are aware of this model.",5
148539,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","A decent entry level gigabit router(lan only).2.4GHz Range is same as the Archer C20 which i was using previously but due to the additional 5GHz antenna the range on the 5GHz band is much better.Offers good speed on both the bands.MU-MIMO is only 2*2 as its an entry level router but it does make alot of difference in the latency when 2 or more devices are requesting large amounts of data.Speaking of latency, your isp's server is what matters the most but your router also has some influenc...",5
148540,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","All features are working well, no issue except the router is taking a booting time of 30 seconds. Otherwise this is the best router available in the market in this price segment....You can buy or go for this without any reason..If there is a feature - of controll bandwidth of any connected device then it will be a perfect full gigabit router...",5
148541,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","First of all 5 stars for prompt delivery from Flipkart, within 24hours received the package. Installation is a breeze, and connected entire home (5 mobile, 2ipad, 2 laptops, 1desktop, 1TV) with easy interface to manage all devices connected. Throughput is brilliant, for 1500sq feet apartment, even 5Ghz signal strength is superb. First time I??m able to get 200mbps which is offered by my ISP. Definitely recommend this product for everyone who wants to future proof their router.",5
148542,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Upgraded from DLink N300 DIR-605L (basic double antenna router) and I am not very happy with this upgrade. The connectivity and performance difference is very minimal.Pros: 5ghz gives a good speed if closer to routerCons: No major network strength, speed enhancement on 2.4ghz. also there is a discontinuity while the network switches from 5ghz to 2.4ghz, which might cause some connection drop for few seconds.Overall a lower version would also suffice equally. Buying this router don't make m...",2
148543,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Best range Best speed Best quality Best designIt's very compact Best antennasBest of the best router I would like to give 5 star ratings to it Thank you Flipkart for fastest delivery,5
148544,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Awesome router for this price. Works great. Signal strength is very good on 2.4ghz. 5ghz works okay. Speeds on 5ghz is excellent. I have a connection of 200Mbps. Gives me full speed on wired connection. Full speed on close range 5ghz wifi. Around 60mbps on 2.4ghz. satisfied with purchase.Design is very nice ????,5
148545,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Value for money router Pros1) WiFi coverage is very good and u can expand using range extender.2) speed in 5 GHz band is great with decent coverage, in 2.4ghz u can get more coverage 3) built quality is very good and no heating issue found.4) App is also convenient to use  features like guest network, parental control are great.",5
148546,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Very good router (v- 3.20), range is good enough, even the 5 gHz band is having a great range, tp-link cloud is good for remote manegement, no need to set-up third party services. Overall a great experience.",5
148547,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Nice product,5
148548,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",value for money,5
148549,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Best for low latency and speed,5
148550,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Nice product ???????,5
148551,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","It's a Good Product No Heating Light heating only Range Is Good, product Quality Awesome, Tp Link Better Then Tenda ,, Go for it.",5
148552,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",I am getting maximum speed in 5 GHz band and also 2.4 GHz giving almost 50 to 70 MBPS.Signal range is also good.,5
148553,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","I basically needed an access point for cheap that can transmit upto 200Mbps(And More in the Future) for my airtel Xtreme Connection. And this serves my purpose really well. It has a 4 giga ports thats(more future proofing). I looked for an actual access point to buy, but all of them were really expensive, those that were cheap could not transmit this type of speed. I'm sure that the router is not Fully utilised in my case, but if anyone wants to buy it as a access point for cheap, then it's...",5
148554,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Superb,5
148555,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","Product quality is very goodI have a 80Mbps speedand I got 30 to 40Mbps speed in 2.4Ghz and 75 to 80 speed in 5Ghz and I also check speed through ethernet cable and just awesome speed 80 out of 80 Mbps speed via ethernet in my pc, But The router makes it very hot.",4
148556,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Increased speed compared to my old router though the connection is same.,5
148557,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","This router runs at max speed to what my ISP provides on multiple devices without any drop. The range is also good. This is a V3.20 ,which is the latest router in this series.",5
148558,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)","This is not for product, but the manufacturer and flipkart , it's taken one week for delivery which should be one day delivery, however after week also I got wrong product, i order C6 and got C20Such a worst experience",1
148559,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Extremely Good product after upgrading router getting fabulous result see my real results in uploaded picture . I have 100mbps connection,5
148560,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Nice Product ???,4
148561,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Gud product,4
148562,"TP-Link Archer C6 MU-MIMO Gigabit 1200 Mbps Wireless Router?ÿ?ÿ(Black, Dual Band)",Very good Router.,5
