Unnamed: 0,Product,Review_Summary,Rating
148345,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Perfect price and perfect quality.Those who need to extend the wifi at drad zone just make sure that this mechine have to catch atleast 3signal on led.other wise nothing happened. in this price range its absolutely ok,5
148346,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Product is just awesome and very easy to configure. Working like a charm :)But .....1. I felt that range is slightly low. 2. This is not the latest version of TL-WA850RE.. .  Flipkart is selling TL-WA850RE V1.26,  and it doesn't support ''TP-LINK THETER'' (mob app to controle wifi extender). . . .  It would be better if flipkart sells TL-WA850RE v2+",4
148347,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","I was looking one extender for my duplex house and felt this would be ideal and it a good one. I have a BSNL modem in first floor. Now while keeping the extender in ground floor, I can get wifi throughout the house now. Speeds are pretty good and not much difference. Its been almost 2 weeks since im using it and no issues so far.Getting this configured is little tricky though. The instruction sheet is very helpful and clear but it did not work in method one mentioned. the TP link extender d...",4
148348,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Got it for 1299 Rs. very easy to configure and Great technical telephonic service by TP link. Costumer have to do one thing 1st buy it and for configuration just call on Given support number. Surely they'll easily make you understand how to configure. very catchy design. very light weight and easy to shift anywhere. Extender range is quite good. Must buy this gadget at lowest market rate. and as usual flipkart timely delivery. over all rating 4.5/5,4
148349,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Nice product and does its job superbly. Consistent signal strength and nice speed BUT don't buy this product as its from 2014 and its upgraded version is available for a difference of few hundred rupees which supports speed upto 750 mbps and has support for 2.4+5gz. This product here only supports 2.4gz with speed upto 300mbps but that's what it was made to do so full marks. Was my mistake not to read properly before buying.,5
148350,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Good Smart Product - enhances range - can be used to connect no wifi product too.Performance is stable  Easy to configure too,5
148351,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Superb Product Easy to connect and good working with great speed.,5
148352,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","writing this review after using it for 10 days i would say it is easy to use and although it dossnt require wps to connect with this extender this extender directly connects with the wifi while its range is awesome.Now about flipkart service,service was awesome it was delivered to me the next day with proper packing .thnku flipkart for this awesome product",5
148353,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","It is simply a great wifi extender available at this price in the market. It's look is also quite futuristic and comes handy. Plus, it also does the job as mentioned above. So, I recommend this to those who face network lagging issues.",5
148354,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Works even in the corners of the house ( store rooms )Pros- 1. Great signal quality         2. Great build quality         3. Easy to use interface          4. Very mobile to use any corner of house   cons- 1. DInt recognise my existing tp-link router to set up with wps setup.          2. The ethernet cable get stuck inside the lan port to remove from it. need extra energy to pull it out .,4
148355,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","This is useless product. Worked ok for couple of weeks, now it doesn't work at all. I have to turn on/off twice a day. Direct connection has 100MBPS speed and via extender, it comes down to mere 10mbps (and that too only if it works, 95% of the times it doesn't work at all). I wish I had never bought this product.",1
148356,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",I search it in so many retail shops but the price is great here only.So thanks Flipkart for this amazing price.And the product is really nice if you want a repeater you must buy it from here.,5
148357,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Nice product, easy to install and easy to use as well. It improves the quality of the network by 40 to 50 %. Max 2 extenders can be used on 1 modem, more than will not work. Very low power consumption, Runs great with inverter.",4
148358,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","good product.  wireless range very good. it realy hols on to wifi signals. i have it connected to my corner room on the first floor where I never used to get wifi signal. now I can seamlessly connect multiple devices and work. only con is setting up the extender. the manual provided does not clearly define. i had to search google and then set it up.apart from this, a fantastic device at a minimum cost.",4
148359,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Bought 2 devices works good using from 3 days,extends the range perfectly but speed of internet slows down to 60% compared to main wifi router even if range available is good in the extender",5
148360,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Really satisfied. I brought this products to work my 2nd floor. My wifi fixed group floor. I fixed this extender in 1st floor I can use group / 1sr & even 2nd floor. Really worth & I'm happy with purchase. Thank to flipkart & Delivery person also.,5
148361,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Nice product. Easy to install with Tether app. You need to place this device nearby your working area to get full benifit of its. Its range can be managed from  the Tether app. More range means more power consumption. Overall nice , decent look. Not dual band. Only 2.4ghz.",4
148362,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Brilliant product, working perfectly fine after 3 months. Worth the buy!",5
148363,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",I Purchased the product after doing watching the product on You tube. This is one of the excellent products must have to improve WiFi range at your home. If you have HDTV which requires a WiFi dongle & you don't have one. You can connect this device to the HDTV via lan cable & update the HDTV software (if supported). Once connect via LAN you can browse internet etc (depends on the TV model & support functionality) I have Main WiFi Router in the main bedroom & after adding this device in t...,5
148364,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Great repeater at great price. This is an amazingly easy product to setup and use. It literally took just 5 minutes to set it up using the wps lock and it was up and running. No hassles. Best part is that it repeats the same SSID as the original wifi router, therefore there's no need to reconnect to any _ext Id every time you move into the dead zone and back. The repeated signal is pretty strong to and although there was a slight drop in speed, it's not a deal breaker and is hardly notice...",5
148365,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Don??t buy, it is only supporting 2.4G and not supporting 5G if you have fiber optic connection of Airtel or Jio.Useless product because we have 5G networks and it is only giving 2.4G speed, even smart lamp is not getting as much as internet connectivity.I am throwing it out.",1
148366,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",very good product.. Easy to setup and use.. Range is very impressive compare to my jiofi router.. internet speed is same as router..you can keep router in first floor of building and install this extender in ground floor so that you can get good signal from entire building..look wise very stylish..attractive LED lights.. You can also keep LED lights off and control other settings through Tether app downloaded from play store,5
148367,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","I was initially in doubt because of some reviews, but I decided to give it a try. It's a very good product, I actually bought it to connect it to my smart TV. It's useful in both ways, wired and wireless. It connected in few minutes, to my Linksys N router.Some reviews stated that devices get confused between two routers, but I don't have that problem. Both of the routers show the same name and not a single time any of my devices showed any problem.Happy with it and recommend it.",5
148368,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Firstly I was not working properly and even after getting connected it was with no data but after that when we carefully try to do it again with the manual it connected and now working fantastically nice product must to buy helpful,5
148369,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",Great product.. Happy with the purchase and delivery from Flipkart. Works very well even on low network. Recommends the product,5
148370,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","As a network administrator I must say it work as it is designed to for the price apart from that one must have the technical knowledge of proper installation of network equiptment if you want this device to function perfectly and smoothly, yes there are far more better device with higher speed and better coverage than this device but at a higher price. This device is made for a room or two not for your entire house. What do you expect from a 1.5k entry level device. If you want better product...",5
148371,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Excellent product by once again from Flipkart. Actually my intention to buy this for Wifi Router on top of Extender, anyways it worked as an Router by connecting to a LAN directly.",5
148372,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",My modem is in second floor and I'm using this in ground floor with a good open space between floors. Connectivity is good in ground floor. It is worth buying to extend the Wi-Fi range.,5
148373,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",3 day used experience good quality router range near 300 miter mor . im happy with this router . very good excellent work .,5
148374,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",to good product amazing work with smart Tv,5
148375,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)","Fast delivery by Flipkart. Installation and configuration is very easy.. Earlier my router was not reachable in a bedroom but after installing this extender , i could get the coverage. Overall very happy with the product ..I will update the review after using for few more days .",5
148376,"TP-Link TL-WA850RE(IN) 300 Mbps WiFi Range Extender?ÿ?ÿ(White, Single Band)",three days since I am using the product and it works reasonably well. I had to scout for places to fix this strategically as not all sockets near the edge of my hall were helping me improve connectivity. so I kept it plugged in the bedroom itself where my mobile could not catch WiFi network. this extender though could catch the signal from the wifi in the hall and then I connected to this extender from my mobile. There was a problem with the WPS button of my wifi so had to set it up manually ...,5
