Unnamed: 0,Product,Review_Summary,Rating
108730,TW00ZR347 Analog Watch  - For Men,Top Brand and Great Quality of Steel Design & Looking wise Superb Watch.,4
108731,TW00ZR347 Analog Watch  - For Men,I like this watch look good quality is good design is good totally my dad like this watch so am happy to tq  Flipkart,5
108732,TW00ZR347 Analog Watch  - For Men,Superb watch light weighted cool designI purchased the same for hubby .He is so happy and liked it very much,5
108733,TW00ZR347 Analog Watch  - For Men,Nice watch i am very happy very good quality original product amazing loved it thank you timex and flipkart,5
108734,TW00ZR347 Analog Watch  - For Men,"A value for money product. If you want a stainless steel strap watch, it is a best option for you under budget. Feel like premium, Go for it .",5
108735,TW00ZR347 Analog Watch  - For Men,I have been using this watch for last 8 months. It is really a great product. Very light weighted & beautiful watch.  Go for it whenever you get good offer. Flipkart frequently offers discounts.,5
108736,TW00ZR347 Analog Watch  - For Men,I purchased this watch for my dad and it really looks classy and good at this price range. Nice packaging by seller and flipkart delievery is very fast. If you're looking for a good watch at mid prince range you should definitely go for it.,5
108737,TW00ZR347 Analog Watch  - For Men,It was great product and looking fabulous and awesome thank you Flipkart,5
108738,TW00ZR347 Analog Watch  - For Men,Overall watch is nice but little small in dial size and little bigger in size. But quality is very good its water resistant until 30 m.No damages but problem is that if any problem arrives in future then repairing should be done from certified Timex showroom only other watchworkers can't repair it as it contains electronic parts which is very minute in size.Since it's chain Plucked my hairs but it's okay. anyways the watch is super cool and best in affordability.,3
108739,TW00ZR347 Analog Watch  - For Men,Straps looks like very old but gives prestigious formal look.Better if the strap was fully black colorPremium qualityI bought only Rs.583 so I am very satisfied this purchase.,5
108740,TW00ZR347 Analog Watch  - For Men,Brilliant.,5
108741,TW00ZR347 Analog Watch  - For Men,Value for many product Superrrrr.,4
108742,TW00ZR347 Analog Watch  - For Men,I am buy only 499 very good watch December 15th 2020,5
108743,TW00ZR347 Analog Watch  - For Men,Good watch,5
108744,TW00ZR347 Analog Watch  - For Men,Superb Watch Thank You flipkart for this watch.,5
108745,TW00ZR347 Analog Watch  - For Men,"I am happy with timex , and really super product",5
108746,TW00ZR347 Analog Watch  - For Men,Osm products I really happy ð,5
108747,TW00ZR347 Analog Watch  - For Men,It's a good watch in Rs. 499,5
108748,TW00ZR347 Analog Watch  - For Men,Best productThank u flipu,4
108749,TW00ZR347 Analog Watch  - For Men,Awesome,5
